wavelength,luminosity
20000.0,1.9039427884922194e+37
19922.303018228908,1.930113949331802e+37
19845.207382417146,1.9578742372362469e+37
19768.706138183254,1.9868107361620562e+37
19692.792437967706,2.0172813210393452e+37
19617.4595389897,2.046737742487548e+37
19542.700801250732,2.0737287789918463e+37
19468.50968558357,2.1002592631948962e+37
19394.87975174554,2.1277171674964266e+37
19321.804656554923,2.1578992368956693e+37
19249.278152069295,2.189288483524178e+37
19177.294083804773,2.2196067577406696e+37
19105.846388995033,2.251627062974749e+37
19034.92909488912,2.281994034069911e+37
18964.536317087048,2.3125778244861843e+37
18894.66225791214,2.3401492534477255e+37
18825.301204819276,2.3629259596291273e+37
18756.447528838038,2.387464175397391e+37
18688.095683049898,2.4120017371671007e+37
18620.240201098593,2.4270375280231336e+37
18552.875695732837,2.431349252383831e+37
18485.996857380534,2.4421057940854743e+37
18419.59845275373,2.455890319373637e+37
18353.675323483527,2.4724975505008306e+37
18288.2223847842,2.4885033898597873e+37
18223.234624145785,2.492251923807829e+37
18158.70710005448,2.501599899107654e+37
18094.63494074007,2.5383651785641643e+37
18031.013342949875,2.6136396194262334e+37
17967.83757074836,2.653658428280463e+37
17905.102954341986,2.670340266868247e+37
17842.80488892854,2.6850581134556373e+37
17780.938833570413,2.702244848925764e+37
17719.500310091258,2.7597042228876893e+37
17658.48490199541,2.8044603750194132e+37
17597.88825340959,2.8238759450760625e+37
17537.7060680463,2.8202941554917427e+37
17477.934108188412,2.8198078737756106e+37
17418.56819369448,2.86516164927718e+37
17359.604201024216,2.925980096630059e+37
17301.038062283737,2.9642062990369683e+37
17242.865764290025,3.0172967088315874e+37
17185.083347654236,3.0864904625603764e+37
17127.68690588336,3.1434740224614156e+37
17070.67258449983,3.24343268425478e+37
17014.036580178647,3.3526277316547594e+37
16957.775139901645,3.418337798360013e+37
16901.884560128452,3.4689191763380627e+37
16846.361185983827,3.5123202994968933e+37
16791.20141046092,3.55662686779985e+37
16736.401673640165,3.5970451653208184e+37
16681.95846192343,3.6350941660351145e+37
16627.868307283006,3.675362912478002e+37
16574.127786525234,3.7161288981047963e+37
16520.733520568312,3.7554452741482225e+37
16467.682173734047,3.795083969094484e+37
16414.970453053185,3.8341600187213155e+37
16362.595107584062,3.8752250379398115e+37
16310.55292774425,3.917949854840828e+37
16258.840744654906,3.9765692968726557e+37
16207.455429497568,4.0327925941231656e+37
16156.393892883107,4.081684613898685e+37
16105.653084232566,4.1284026114412853e+37
16055.229991169623,4.1748517282390374e+37
16005.121638924456,4.22962094344128e+37
15955.325089748701,4.287358102585034e+37
15905.837442341339,4.342735796265128e+37
15856.655831285181,4.398982391377756e+37
15807.777426493836,4.450511273008428e+37
15759.19943266882,4.500121857428131e+37
15710.919088766692,4.546464565970811e+37
15662.933667475918,4.591277895661292e+37
15615.240474703309,4.638495997762116e+37
15567.836849069823,4.687696690780658e+37
15520.72016141549,4.734444288170911e+37
15473.887814313346,4.779157609786907e+37
15427.337241592102,4.824762332134567e+37
15381.065907867414,4.872049071755755e+37
15335.07130808158,4.922707690448146e+37
15289.350967051449,4.974736294170005e+37
15243.90243902439,5.026984456524761e+37
15198.723307242191,5.079232103093979e+37
15153.811183512653,5.131837276106953e+37
15109.163707788774,5.183259401185104e+37
15064.778547755348,5.229200197408995e+37
15020.65339842283,5.279468542738044e+37
14976.78598172832,5.331190655478347e+37
14933.174046143507,5.384921309112841e+37
14889.815366289458,5.438805756481172e+37
14846.707742558088,5.493765484007994e+37
14803.849000740192,5.548285941205585e+37
14761.2369916599,5.602078598300336e+37
14718.869590815424,5.658920989967118e+37
14676.744698025977,5.715184998688971e+37
14634.860237084737,5.770931206480421e+37
14593.21415541773,5.829765415285223e+37
14551.804423748546,5.889745952849724e+37
14510.629035768701,5.944321216305892e+37
14469.686007813632,5.996481362082209e+37
14428.973378544119,6.045293432672607e+37
14388.489208633096,6.099729529463876e+37
14348.23158045771,6.159768378962517e+37
14308.198597796538,6.221231520096052e+37
14268.388385531856,6.278437528501852e+37
14228.79908935686,6.332361201713859e+37
14189.428875487763,6.384216274627161e+37
14150.275930380643,6.438494839394692e+37
14111.338460452975,6.501934558864135e+37
