wavelength,luminosity
20000.0,1.9002918749670611e+37
19922.303018228908,1.92687161486962e+37
19845.207382417146,1.9550378674394143e+37
19768.706138183254,1.9840847591782202e+37
19692.792437967706,2.013996319443866e+37
19617.4595389897,2.0425331563737623e+37
19542.700801250732,2.0692787714075622e+37
19468.50968558357,2.0947425673519725e+37
19394.87975174554,2.1238583441682758e+37
19321.804656554923,2.154787400442073e+37
19249.278152069295,2.1854597304802743e+37
19177.294083804773,2.21646392530858e+37
19105.846388995033,2.247287047501144e+37
19034.92909488912,2.2782405798262705e+37
18964.536317087048,2.308269689672228e+37
18894.66225791214,2.3335586893695695e+37
18825.301204819276,2.3564953989731646e+37
18756.447528838038,2.3815327037069865e+37
18688.095683049898,2.40628756432217e+37
18620.240201098593,2.423047516173051e+37
18552.875695732837,2.430346791473872e+37
18485.996857380534,2.44231571679001e+37
18419.59845275373,2.456027246678675e+37
18353.675323483527,2.4725361043311597e+37
18288.2223847842,2.488099843766269e+37
18223.234624145785,2.4935874658202402e+37
18158.70710005448,2.5094922073489343e+37
18094.63494074007,2.5444873657511823e+37
18031.013342949875,2.6156549699508395e+37
17967.83757074836,2.65627920833344e+37
17905.102954341986,2.6736059882544964e+37
17842.80488892854,2.6906695236128502e+37
17780.938833570413,2.7064209119643204e+37
17719.500310091258,2.757856560488907e+37
17658.48490199541,2.798822113528114e+37
17597.88825340959,2.818835514666844e+37
17537.7060680463,2.817843535291712e+37
17477.934108188412,2.8206474814008797e+37
17418.56819369448,2.8673140775863684e+37
17359.604201024216,2.9260346641377797e+37
17301.038062283737,2.9637252477593385e+37
17242.865764290025,3.018684885216766e+37
17185.083347654236,3.090346468960847e+37
17127.68690588336,3.1495318552648496e+37
17070.67258449983,3.2459214695912855e+37
17014.036580178647,3.3481150149978806e+37
16957.775139901645,3.413990707571519e+37
16901.884560128452,3.463464996222866e+37
16846.361185983827,3.5080378119780524e+37
16791.20141046092,3.5528942114118616e+37
16736.401673640165,3.5931194029563515e+37
16681.95846192343,3.632106133589413e+37
16627.868307283006,3.671969073114894e+37
16574.127786525234,3.711511187359802e+37
16520.733520568312,3.750915696300179e+37
16467.682173734047,3.790517471961265e+37
16414.970453053185,3.829139930074675e+37
16362.595107584062,3.8707282200302975e+37
16310.55292774425,3.9139410572457776e+37
16258.840744654906,3.9715317695900593e+37
16207.455429497568,4.0256638430547995e+37
16156.393892883107,4.0742624106827756e+37
16105.653084232566,4.1203510630150585e+37
16055.229991169623,4.167708418813972e+37
16005.121638924456,4.223567645267657e+37
15955.325089748701,4.28083623159219e+37
15905.837442341339,4.337743256160712e+37
15856.655831285181,4.391675876966451e+37
15807.777426493836,4.441080732062884e+37
15759.19943266882,4.489546220903581e+37
15710.919088766692,4.534306833292079e+37
15662.933667475918,4.5798978388290495e+37
15615.240474703309,4.628474304304053e+37
15567.836849069823,4.6754748993056285e+37
15520.72016141549,4.720587584476077e+37
15473.887814313346,4.764494472717948e+37
15427.337241592102,4.810764602607163e+37
15381.065907867414,4.858734412106744e+37
15335.07130808158,4.9101781790958675e+37
15289.350967051449,4.961731498149813e+37
15243.90243902439,5.013414123226418e+37
15198.723307242191,5.065353662092067e+37
15153.811183512653,5.117888340848679e+37
15109.163707788774,5.164417468378579e+37
15064.778547755348,5.212581036527213e+37
15020.65339842283,5.263322029775684e+37
14976.78598172832,5.3158010643335615e+37
14933.174046143507,5.369466779999827e+37
14889.815366289458,5.423121796498061e+37
14846.707742558088,5.477380751094983e+37
14803.849000740192,5.5306941590110055e+37
14761.2369916599,5.585021465092267e+37
14718.869590815424,5.641777055706411e+37
14676.744698025977,5.696018934535153e+37
14634.860237084737,5.75318764336855e+37
14593.21415541773,5.812540757889175e+37
14551.804423748546,5.86983242450041e+37
14510.629035768701,5.921124463736117e+37
14469.686007813632,5.970924206014956e+37
14428.973378544119,6.021625822763165e+37
14388.489208633096,6.0797584849366245e+37
14348.23158045771,6.140687855773015e+37
14308.198597796538,6.199133676745183e+37
14268.388385531856,6.253862025716757e+37
14228.79908935686,6.305811382987135e+37
14189.428875487763,6.358741664023803e+37
14150.275930380643,6.417943543441358e+37
14111.338460452975,6.484706748735608e+37
14072.61469180974,6.54957004392016e+37
14034.10286997404,6.612062457856273e+37
13995.801259622114,6.675709194692513e+37
13957.708144322703,6.739061824026686e+37
13919.821826280626,6.807206575969197e+37
13882.140626084543,6.874289123800822e+37
13844.662882458813,6.942921101956953e+37
13807.386952019331,7.013190762048826e+37
13770.311209033325,7.08300421224452e+37
13733.434045183,7.145347882228031e+37
13696.75386933297,7.198466040859066e+37
13660.269107301414,7.252321612544052e+37
13623.978201634878,7.307753523476335e+37
13587.879611386645,7.365987690049727e+37
13551.971811898633,7.425951615367966e+37
13516.253294586742,7.487012831443888e+37
13480.722566729579,7.552128925872149e+37
13445.378151260506,7.62492232490755e+37
13410.218586562962,7.6915934351768e+37
13375.242426268976,7.755666578471777e+37
13340.448239060834,7.847247486640436e+37
13305.834608475818,7.940051181604001e+37
13271.400132714003,8.024994866451675e+37
13237.143424449005,8.103947523957096e+37
13203.06311064167,8.181300055788728e+37
13169.157832356621,8.251363883135785e+37
13135.426244581637,8.318866609453682e+37
13101.867016049788,8.386846801468621e+37
13068.478829064297,8.456594184445403e+37
13035.260379326079,8.526567324048178e+37
13002.210375763882,8.588840513475642e+37
12969.327540367032,8.655739179703236e+37
12936.610608020701,8.727977340597616e+37
12904.058326343637,8.79961169875879e+37
12871.669455528383,8.868162854529306e+37
12839.442768183862,8.935444258953899e+37
12807.37704918033,9.00506736718798e+37
12775.471095496649,9.073190570769763e+37
12743.723716069837,9.143276663366564e+37
12712.133731646858,9.21810879357727e+37
12680.6999746386,9.294362314167517e+37
12649.42128897603,9.371799692741171e+37
12618.296529968455,9.453101575333677e+37
12587.324564163888,9.544349620195883e+37
12556.504269211451,9.631555827213922e+37
12525.83453372581,9.71594680120644e+37
12495.314257153568,9.797703784361998e+37
12464.942349641633,9.87755849172916e+37
12434.717731907487,9.960303514076763e+37
12404.639335111333,1.0043327194830849e+38
12374.706100730109,1.0124970001764708e+38
12344.916980433307,1.020848127226944e+38
12315.270935960592,1.0292999514150604e+38
12285.766939001167,1.0371154900135247e+38
12256.403971074888,1.0445738987748898e+38
12227.181023415053,1.0522480049057566e+38
12198.09709685289,1.060473948858336e+38
12169.15120170368,1.068524790691749e+38
12140.342357654488,1.0765527677038385e+38
12111.669593653487,1.0843757508954532e+38
12083.13194780087,1.0923119358789273e+38
12054.728467241277,1.100380810390701e+38
12026.458208057727,1.1091998874640905e+38
11998.320235167079,1.118310472896929e+38
11970.313622216903,1.1273370416166504e+38
11942.437451483847,1.1364979367548479e+38
11914.690813773383,1.1474558395178112e+38
11887.072808320952,1.1578526893131011e+38
11859.582542694498,1.1676748188706707e+38
11832.21913269834,1.1777055108541825e+38
11804.981702278363,1.187427387520763e+38
11777.869383428537,1.1970996506328679e+38
11750.881316098707,1.2069005291927124e+38
11724.016648103641,1.2165167352192851e+38
11697.274535033339,1.2256559134803634e+38
11670.654140164557,1.2343599675646454e+38
11644.154634373546,1.2432188294999527e+38
11617.775196049957,1.2522902543950344e+38
11591.51501101194,1.261167635157251e+38
11565.373272422368,1.270076877412887e+38
11539.34918070621,1.279220230582874e+38
11513.441943469,1.2881489764279901e+38
11487.650775416429,1.297031818017154e+38
11461.974898274973,1.306457696893803e+38
11436.413540713633,1.3163367438323535e+38
11410.965938266676,1.3259306265679308e+38
11385.63133325743,1.3353433568570898e+38
11360.40897472309,1.344239229678349e+38
11335.298118340514,1.3532786012695561e+38
11310.298026352993,1.3626372683892017e+38
11285.407967498026,1.3715973996590605e+38
11260.627216935984,1.380259777022754e+38
11235.955056179775,1.3903696809962772e+38
11211.390773025394,1.4005990517743481e+38
11186.933661483388,1.411265615499856e+38
11162.583021711223,1.4222654704203556e+38
11138.338159946536,1.4324995756652582e+38
11114.198388441235,1.4391142146986011e+38
11090.163025396474,1.4455611692998184e+38
11066.231394898468,1.4530121617270455e+38
11042.402826855125,1.4599902781373434e+38
11018.676656933503,1.4672361777911503e+38
10995.052226498075,1.4750047758943618e+38
10971.528882549783,1.482909812090778e+38
10948.105977665866,1.492824998548955e+38
10924.78286994046,1.5027671311801223e+38
10901.558922925979,1.5120887897282244e+38
10878.433505575198,1.5215689785202009e+38
10855.405992184109,1.5308302909458695e+38
10832.475762335482,1.540009544784564e+38
10809.642200843153,1.5528320062553991e+38
10786.904697696997,1.572494963507698e+38
10764.262648008611,1.5894249737631415e+38
10741.715451957678,1.6043193106344867e+38
10719.262514738984,1.6180694481035902e+38
10696.903246510135,1.6309302046396041e+38
10674.63706233988,1.6427808519850524e+38
10652.463382157124,1.6544015235051929e+38
10630.381630700542,1.6655566343716483e+38
10608.391237468839,1.6771834214140894e+38
10586.491636671606,1.689016252797078e+38
10564.682267180815,1.700223152441435e+38
10542.96257248287,1.7109774045456856e+38
10521.33200063128,1.7211883943638386e+38
10499.790004199916,1.7307949098505244e+38
10478.33604023681,1.7405203431279226e+38
10456.96957021855,1.7514565189115288e+38
10435.690060005218,1.762353482812782e+38
10414.496979795875,1.7730337438579577e+38
10393.389804084602,1.783917073224387e+38
10372.36801161705,1.7949794690357394e+38
10351.431085347549,1.805674666501346e+38
10330.578512396694,1.8164836000916507e+38
10309.809784009485,1.8272786453443023e+38
10289.124395513942,1.83838281992662e+38
10268.52184628023,1.8492949604326365e+38
10248.001639680264,1.8601104817265103e+38
10227.563283047815,1.87135189627801e+38
10207.206287639074,1.8838821399363037e+38
10186.930168593695,1.89644354177029e+38
10166.7344448963,1.908366389411384e+38
10146.618639338441,1.9202084547360653e+38
10126.582278481013,1.93239012262895e+38
10106.62489261711,1.9446059128167817e+38
10086.746015735325,1.95596407929356e+38
10066.945185483466,1.9671284261667754e+38
10047.221943132723,1.9786216166506224e+38
10027.57583354224,1.9900000363600677e+38
10008.006405124099,2.0013186050424455e+38
9988.513209808722,2.0127849425487507e+38
9969.095803010667,2.0237473432855086e+38
9949.753743594847,2.0347003887022707e+38
9930.486593843098,2.045795415783542e+38
9911.293919421181,2.0567283515574715e+38
9892.175289346129,2.0671044789801132e+38
9873.130275953992,2.0769975213758747e+38
9854.158454867955,2.0870117493157404e+38
9835.259404966806,2.0974049815862465e+38
9816.432708353785,2.108011175753433e+38
9797.677950325773,2.1188053746654203e+38
9778.99471934285,2.129378540970237e+38
9760.382606998195,2.1328685000842964e+38
9741.84120798831,2.1346682013980125e+38
9723.370120083622,2.135871479527241e+38
9704.968944099379,2.140027986772006e+38
9686.637283866905,2.144249553971143e+38
9668.374746205162,2.1475927023123525e+38
9650.180940892642,2.1544833327718705e+38
9632.055480639568,2.1608968734410065e+38
9613.997981060424,2.1706139298985405e+38
9596.008060646773,2.1814624445925465e+38
9578.085340740385,2.1944136311430693e+38
9560.229445506693,2.20596869617629e+38
9542.44000190849,2.2189589406958477e+38
9524.71663967997,2.2320114026348596e+38
9507.05899130104,2.2458518648764067e+38
9489.466691971911,2.2608394077407272e+38
9471.939379587971,2.320729232010134e+38
9454.476694714947,2.3711873807168476e+38
9437.078280564338,2.408362712664365e+38
9419.743782969103,2.4359955942824883e+38
9402.472850359645,2.4584958174340203e+38
9385.265133740028,2.4787462749204044e+38
9368.120286664482,2.49806177455561e+38
9351.037965214138,2.516364650368745e+38
9334.017827974052,2.534249728772566e+38
9317.059536010434,2.551561761904044e+38
9300.162752848175,2.5675826188324336e+38
9283.32714444857,2.582531669595207e+38
9266.552379187324,2.596675185775386e+38
9249.838127832763,2.610375880484902e+38
9233.184063524306,2.6241334596169156e+38
9216.589861751152,2.6381060318251863e+38
9200.055200331202,2.651983868310906e+38
9183.57975939021,2.665930762876412e+38
9167.163221341156,2.6802397651318525e+38
9150.805270863837,2.6944687108447354e+38
9134.505594884677,2.7057657679050994e+38
9118.263882556761,2.7105033756666756e+38
9102.079825240067,2.71017107112749e+38
9085.953116481918,2.7061896946886965e+38
9069.883451997643,2.7026961005983387e+38
9053.870529651425,2.6989134269021315e+38
9037.91404943739,2.698608130491587e+38
9022.013713460845,2.6988853479727765e+38
9006.169225919755,2.702103177579142e+38
8990.380293086399,2.70794038022843e+38
8974.646623289209,2.713633327338594e+38
8958.967926894822,2.7210786482515472e+38
8943.343916290301,2.7279508101397807e+38
8927.774305865549,2.7372921454622194e+38
8912.2588119959,2.747250018220733e+38
8896.79715302491,2.7578211181801594e+38
8881.389049247302,2.7689175788758892e+38
8866.0342228921,2.793052516668586e+38
8850.732398105944,2.8255771744955632e+38
8835.483300936561,2.8736643784720127e+38
8820.286659316427,2.9299782251884743e+38
8805.142203046578,2.973673838515869e+38
8790.0496637806,3.008420914137077e+38
8775.008775008775,3.037197875900743e+38
8760.019272042398,3.061682168557095e+38
8745.080891998252,3.084109304559263e+38
8730.19337378323,3.1055553421944536e+38
8715.356458079135,3.126499002778937e+38
8700.56988732762,3.1471385301138558e+38
8685.833405715279,3.1674914553260617e+38
8671.146759158899,3.187029654761108e+38
8656.509695290859,3.205701501489108e+38
8641.92196344467,3.225008192141889e+38
8627.383314640669,3.2441260867935802e+38
8612.893501571853,3.262484922118198e+38
8598.452278589853,3.2809942570857983e+38
8584.05940169106,3.2997199923650884e+38
8569.714628502872,3.3183112569965677e+38
8555.417718270095,3.3366548107705245e+38
8541.168431841475,3.352934181707045e+38
8526.966531656362,3.366861281351107e+38
8512.811781731505,3.379911221385803e+38
8498.703947647984,3.392711307818753e+38
8484.642796538266,3.405219454918918e+38
8470.628097073397,3.417700489928645e+38
8456.659619450318,3.430218326006799e+38
8442.73713537929,3.442090596481792e+38
8428.860418071477,3.453099803225579e+38
8415.029242226616,3.459222867689597e+38
8401.243384020836,3.464452192713302e+38
8387.502621094569,3.4690647014676425e+38
8373.806732540612,3.472088524705657e+38
8360.15549889228,3.47455655196241e+38
8346.548702111677,3.476712925686577e+38
8332.986125578102,3.478832339280138e+38
8319.46755407654,3.475202943331885e+38
8305.992773786287,3.469037608813874e+38
8292.561572269675,3.466477006008065e+38
8279.1737384609,3.4694487977679664e+38
8265.829062654984,3.472747739561818e+38
8252.527336496802,3.475772320794113e+38
8239.268352970255,3.480423247537149e+38
8226.051906387529,3.485845635150483e+38
8212.87779237845,3.490564365092023e+38
8199.745807879955,3.495864261542037e+38
8186.655751125665,3.5008262529886504e+38
8173.607421635538,3.520151937301383e+38
8160.600620205647,3.54523359774718e+38
8147.635148898032,3.572669470791555e+38
8134.710811030667,3.599857990558738e+38
8121.827411167513,3.627573562197067e+38
8108.98475510866,3.656495220708994e+38
8096.182649880581,3.6840847439599244e+38
8083.420903726457,3.7182713766249115e+38
8070.6993260966065,3.7551254418612085e+38
8058.017727639,3.791360463596278e+38
8045.37592018987,3.827304502127009e+38
8032.773716764399,3.862819731276908e+38
8020.2109315475,3.8973759101710586e+38
8007.68737988469,3.931108281670731e+38
7995.202878273038,3.965502244608131e+38
7982.7572443522,3.999843998877169e+38
7970.350296895549,4.033140921530673e+38
7957.98185580137,4.0697610390735086e+38
7945.651742084146,4.108985907798663e+38
7933.359777865927,4.146474765530672e+38
7921.105786367778,4.1837870454195324e+38
7908.889591901298,4.2234381406578084e+38
7896.711019860229,4.262188624903263e+38
7884.569896712135,4.3005831316341955e+38
7872.46604999016,4.3378413406529414e+38
7860.399308284863,4.373515163349714e+38
7848.369501236119,4.40709071244824e+38
7836.376459525117,4.4396723395363626e+38
7824.420014866399,4.468228636796539e+38
7812.500000000001,4.4932795494252955e+38
7800.6162486836465,4.5178792239847284e+38
7788.768595685023,4.539750542242744e+38
7776.956876774119,4.559392859650683e+38
7765.18092871564,4.5782163174598836e+38
7753.440589261486,4.597644187064786e+38
7741.7356971433,4.616951563060975e+38
7730.066092065088,4.6357143135875836e+38
7718.4316146958945,4.654088395114414e+38
7706.832106662557,4.672408498889155e+38
7695.267410542517,4.69057865927964e+38
7683.737369856699,4.7083196539918466e+38
7672.241829062453,4.724657049562514e+38
7660.780633546559,4.711877865679044e+38
7649.353629618298,4.684540653535349e+38
7637.960664502579,4.650293180240948e+38
7626.60158633313,4.60973734895946e+38
7615.276244145758,4.5707582690378316e+38
7603.984487871646,4.526069862152818e+38
7592.72616833074,4.472756163475823e+38
7581.501137225171,4.423875897757325e+38
7570.309247132746,4.371546567852637e+38
7559.150351500492,4.3158367568228395e+38
7548.024304638262,4.267348840563828e+38
7536.930961712392,4.214444612206022e+38
7525.8701787394175,4.164126917358571e+38
7514.841812579846,4.116968518309222e+38
7503.845720931979,4.06924674634942e+38
7492.881762325792,4.028120857223501e+38
7481.949796116869,3.985316738945543e+38
7471.0496824803895,3.948884705241549e+38
7460.181282405163,3.914299041587227e+38
7449.344457687725,3.8855131326681885e+38
7438.539070926471,3.943706581467585e+38
7427.764985515859,4.0263994179521495e+38
7417.022065640646,4.121659725184639e+38
7406.310176270184,4.217926007487111e+38
7395.629183152757,4.318102633176754e+38
7384.9789528099855,4.409761848056122e+38
7374.35935253125,4.499680996781147e+38
7363.770250368189,4.586383355195943e+38
7353.211515129234,4.661067671348024e+38
7342.683016374184,4.7311700991811766e+38
7332.184624408843,4.796521713690951e+38
7321.71621027969,4.856199773851306e+38
7311.277645768599,4.91333205267786e+38
7300.868803387603,4.962712422848449e+38
7290.489556373712,5.007767487635064e+38
7280.1397786837515,5.048056463314605e+38
