wavelength,luminosity
20000.0,1.9284728324631187e+37
19922.303018228908,1.9528574600825836e+37
19845.207382417146,1.9796899253595598e+37
19768.706138183254,2.0063101921143573e+37
19692.792437967706,2.0354175522442137e+37
19617.4595389897,2.0654447891067273e+37
19542.700801250732,2.0961125455362931e+37
19468.50968558357,2.1259578294398225e+37
19394.87975174554,2.1534694634720233e+37
19321.804656554923,2.180809864507081e+37
19249.278152069295,2.2083200978172485e+37
19177.294083804773,2.2389396367702364e+37
19105.846388995033,2.2720812404500116e+37
19034.92909488912,2.3034094439991277e+37
18964.536317087048,2.3349645695958163e+37
18894.66225791214,2.3640438841201345e+37
18825.301204819276,2.3935211323646724e+37
18756.447528838038,2.4211079262288897e+37
18688.095683049898,2.444831465979567e+37
18620.240201098593,2.4575190434157703e+37
18552.875695732837,2.4552335389785244e+37
18485.996857380534,2.4576721671181614e+37
18419.59845275373,2.4678003275393437e+37
18353.675323483527,2.4865310484005236e+37
18288.2223847842,2.506216203309449e+37
18223.234624145785,2.5112948943278222e+37
18158.70710005448,2.518465546529261e+37
18094.63494074007,2.55187539593644e+37
18031.013342949875,2.6319287230750754e+37
17967.83757074836,2.679781153051557e+37
17905.102954341986,2.694644445377117e+37
17842.80488892854,2.7036021043497963e+37
17780.938833570413,2.71617583861049e+37
17719.500310091258,2.7800936642426067e+37
17658.48490199541,2.834658339889532e+37
17597.88825340959,2.8600561933273435e+37
17537.7060680463,2.8532963747433883e+37
17477.934108188412,2.847933127989718e+37
17418.56819369448,2.89039678816697e+37
17359.604201024216,2.9542780648161773e+37
17301.038062283737,2.9967167340570424e+37
17242.865764290025,3.050123587540612e+37
17185.083347654236,3.1175821922949127e+37
17127.68690588336,3.169154474976819e+37
17070.67258449983,3.2689875915921175e+37
17014.036580178647,3.3857557430111067e+37
16957.775139901645,3.4605678425254993e+37
16901.884560128452,3.5130169866708434e+37
16846.361185983827,3.5551066587131123e+37
16791.20141046092,3.596970718575317e+37
16736.401673640165,3.635671564724286e+37
16681.95846192343,3.6729970564203203e+37
16627.868307283006,3.7142197513013933e+37
16574.127786525234,3.755946171655153e+37
16520.733520568312,3.7991274579344874e+37
16467.682173734047,3.840850256327655e+37
16414.970453053185,3.8810414657664595e+37
16362.595107584062,3.9214892406626166e+37
16310.55292774425,3.96476725467371e+37
16258.840744654906,4.0200197061301126e+37
16207.455429497568,4.0788352944191447e+37
16156.393892883107,4.1294515748569396e+37
16105.653084232566,4.1810524458697644e+37
16055.229991169623,4.2268848902197493e+37
16005.121638924456,4.281133747271999e+37
15955.325089748701,4.3332810407621695e+37
15905.837442341339,4.383993402055888e+37
15856.655831285181,4.436273734769888e+37
15807.777426493836,4.490787805002496e+37
15759.19943266882,4.547169718924934e+37
15710.919088766692,4.60294077416796e+37
15662.933667475918,4.654010953468547e+37
15615.240474703309,4.705233845872736e+37
15567.836849069823,4.751966808187726e+37
15520.72016141549,4.798675190102554e+37
15473.887814313346,4.848308362421448e+37
15427.337241592102,4.89821699242088e+37
15381.065907867414,4.945799255285769e+37
15335.07130808158,4.991614593752774e+37
15289.350967051449,5.039853821586333e+37
15243.90243902439,5.089178528912349e+37
15198.723307242191,5.142465861596926e+37
15153.811183512653,5.195684172497175e+37
15109.163707788774,5.249503074088151e+37
15064.778547755348,5.303658463618185e+37
15020.65339842283,5.3585797856290095e+37
14976.78598172832,5.409542129529255e+37
14933.174046143507,5.457800972813734e+37
14889.815366289458,5.51041882885945e+37
14846.707742558088,5.5645965314678155e+37
14803.849000740192,5.62091208010752e+37
14761.2369916599,5.676902219944967e+37
14718.869590815424,5.734056920850999e+37
14676.744698025977,5.790397624679225e+37
14634.860237084737,5.8461095604662825e+37
14593.21415541773,5.905551154834985e+37
14551.804423748546,5.962266809463623e+37
14510.629035768701,6.019684730303123e+37
14469.686007813632,6.080257049872402e+37
14428.973378544119,6.141456241455321e+37
14388.489208633096,6.195636839900783e+37
14348.23158045771,6.249105527756046e+37
14308.198597796538,6.29884673936052e+37
14268.388385531856,6.355414451494885e+37
14228.79908935686,6.416288817100681e+37
14189.428875487763,6.477801308094101e+37
14150.275930380643,6.535438082028788e+37
14111.338460452975,6.590695616518783e+37
14072.61469180974,6.645038158040068e+37
14034.10286997404,6.702781702191325e+37
13995.801259622114,6.770267845652358e+37
13957.708144322703,6.839749494939987e+37
13919.821826280626,6.905403419659081e+37
13882.140626084543,6.970172993950543e+37
13844.662882458813,7.036438902033972e+37
13807.386952019331,7.105475525108102e+37
13770.311209033325,7.177504833906618e+37
13733.434045183,7.238665434570595e+37
13696.75386933297,7.295844143989399e+37
13660.269107301414,7.357418350771543e+37
13623.978201634878,7.421665157840767e+37
13587.879611386645,7.48480169713829e+37
13551.971811898633,7.546250200275897e+37
13516.253294586742,7.606887919040011e+37
13480.722566729579,7.669629962178351e+37
13445.378151260506,7.733315044841863e+37
13410.218586562962,7.797696784001912e+37
13375.242426268976,7.865270528291463e+37
13340.448239060834,7.964782881495869e+37
13305.834608475818,8.0716703132206945e+37
13271.400132714003,8.1529978447728375e+37
13237.143424449005,8.225861822467881e+37
13203.06311064167,8.297563996385133e+37
13169.157832356621,8.368681690420681e+37
13135.426244581637,8.444512911542829e+37
13101.867016049788,8.521194934602387e+37
13068.478829064297,8.599147902110287e+37
13035.260379326079,8.670195920869763e+37
13002.210375763882,8.740851221155885e+37
12969.327540367032,8.80901765668519e+37
12936.610608020701,8.878719699597109e+37
12904.058326343637,8.94726857441134e+37
12871.669455528383,9.008734159728329e+37
12839.442768183862,9.080115687930618e+37
12807.37704918033,9.157211507186838e+37
12775.471095496649,9.23252405111126e+37
12743.723716069837,9.305316044217784e+37
12712.133731646858,9.377379095324663e+37
12680.6999746386,9.451630631141302e+37
12649.42128897603,9.523926450797905e+37
12618.296529968455,9.598567288525428e+37
12587.324564163888,9.688053456944257e+37
12556.504269211451,9.77855053277833e+37
12525.83453372581,9.867243955226674e+37
12495.314257153568,9.956860524282962e+37
12464.942349641633,1.0042960779444669e+38
12434.717731907487,1.012452672069935e+38
12404.639335111333,1.0206266808713767e+38
12374.706100730109,1.0283970172296536e+38
12344.916980433307,1.0361041018692536e+38
12315.270935960592,1.044208973549318e+38
12285.766939001167,1.0522937532939099e+38
12256.403971074888,1.0603529657892217e+38
12227.181023415053,1.0686426268158661e+38
12198.09709685289,1.0772729993285126e+38
12169.15120170368,1.085464404399624e+38
12140.342357654488,1.0934992971495559e+38
12111.669593653487,1.1018916044472977e+38
12083.13194780087,1.1107109216398638e+38
12054.728467241277,1.1194779785321476e+38
12026.458208057727,1.1287443164838148e+38
11998.320235167079,1.1380849893017487e+38
11970.313622216903,1.1471657553635965e+38
11942.437451483847,1.1562240612771821e+38
11914.690813773383,1.1667892618763804e+38
11887.072808320952,1.1768939262678005e+38
11859.582542694498,1.1867555418987108e+38
11832.21913269834,1.196582951033315e+38
11804.981702278363,1.2065152335707628e+38
11777.869383428537,1.2164310511865662e+38
11750.881316098707,1.225950052482487e+38
11724.016648103641,1.2360075340318431e+38
11697.274535033339,1.2458811447655443e+38
11670.654140164557,1.255581430710819e+38
11644.154634373546,1.2655419858363962e+38
11617.775196049957,1.2754038991096044e+38
11591.51501101194,1.2849293193749211e+38
11565.373272422368,1.2937239605180377e+38
11539.34918070621,1.3025505701589639e+38
11513.441943469,1.3117239029817793e+38
11487.650775416429,1.3209047731110623e+38
11461.974898274973,1.3301667492470823e+38
11436.413540713633,1.3399410746036494e+38
11410.965938266676,1.3491173148318935e+38
11385.63133325743,1.3578956092509732e+38
11360.40897472309,1.3668429024324435e+38
11335.298118340514,1.3765660505225638e+38
11310.298026352993,1.3862304027734525e+38
11285.407967498026,1.3958465565046674e+38
11260.627216935984,1.4048909661277854e+38
11235.955056179775,1.4145434991449603e+38
11211.390773025394,1.424628246920469e+38
11186.933661483388,1.4346638424996011e+38
11162.583021711223,1.444302045981235e+38
11138.338159946536,1.4536619320906796e+38
11114.198388441235,1.4603586891997908e+38
11090.163025396474,1.4679503568129865e+38
11066.231394898468,1.4772075788747326e+38
11042.402826855125,1.4857583539625427e+38
11018.676656933503,1.493717751215151e+38
10995.052226498075,1.5013675322188748e+38
10971.528882549783,1.5090714883409229e+38
10948.105977665866,1.5187890439307915e+38
10924.78286994046,1.5292565118346825e+38
10901.558922925979,1.5395006814999659e+38
10878.433505575198,1.5497104901817059e+38
10855.405992184109,1.5596741660756794e+38
10832.475762335482,1.569931288077147e+38
10809.642200843153,1.5831273502374298e+38
10786.904697696997,1.6027989888011538e+38
10764.262648008611,1.6198889614740528e+38
10741.715451957678,1.634626183276202e+38
10719.262514738984,1.6481492970264212e+38
10696.903246510135,1.6612609982546657e+38
10674.63706233988,1.6732581787221658e+38
10652.463382157124,1.6847520503522705e+38
10630.381630700542,1.6959440280178748e+38
10608.391237468839,1.707645642526159e+38
10586.491636671606,1.7189846633826335e+38
10564.682267180815,1.7300024430082846e+38
10542.96257248287,1.7409088663411295e+38
10521.33200063128,1.7511826284182466e+38
10499.790004199916,1.7619366539386034e+38
10478.33604023681,1.7727708605510093e+38
10456.96957021855,1.784322650712059e+38
10435.690060005218,1.7959182745803574e+38
10414.496979795875,1.8070984077990718e+38
10393.389804084602,1.8175791519517056e+38
10372.36801161705,1.8281548324316747e+38
10351.431085347549,1.838575554426395e+38
10330.578512396694,1.84895397871694e+38
10309.809784009485,1.859439296733894e+38
10289.124395513942,1.870923422038415e+38
10268.52184628023,1.8826453512911073e+38
10248.001639680264,1.8941520864903473e+38
10227.563283047815,1.9060859881320685e+38
