wavelength,luminosity
20000.0,1.8830545252906378e+37
19922.303018228908,1.9114780054887625e+37
19845.207382417146,1.940086680901424e+37
19768.706138183254,1.967812374344429e+37
19692.792437967706,1.9946393900967145e+37
19617.4595389897,2.0203741546899216e+37
19542.700801250732,2.0495062277456953e+37
19468.50968558357,2.0800382098934135e+37
19394.87975174554,2.110096401724881e+37
19321.804656554923,2.140820899706915e+37
19249.278152069295,2.1706551258745614e+37
19177.294083804773,2.201098245227731e+37
19105.846388995033,2.2318077647365744e+37
19034.92909488912,2.258382032114456e+37
18964.536317087048,2.2832321825776344e+37
18894.66225791214,2.309426896576342e+37
18825.301204819276,2.3347863123079483e+37
18756.447528838038,2.3620805045798896e+37
18688.095683049898,2.393231047895767e+37
18620.240201098593,2.4171810088931887e+37
18552.875695732837,2.428566298071357e+37
18485.996857380534,2.442249581404015e+37
18419.59845275373,2.4577809045268175e+37
18353.675323483527,2.476506654397841e+37
18288.2223847842,2.5023237754897067e+37
18223.234624145785,2.515928107459999e+37
18158.70710005448,2.5285052143269486e+37
18094.63494074007,2.561146913452424e+37
18031.013342949875,2.6238457637966594e+37
17967.83757074836,2.6620091443542153e+37
17905.102954341986,2.6797538308049523e+37
17842.80488892854,2.6939684243371777e+37
17780.938833570413,2.7083043367811964e+37
17719.500310091258,2.7508441763328016e+37
17658.48490199541,2.784659639732211e+37
17597.88825340959,2.8050503241215777e+37
17537.7060680463,2.8086493039854483e+37
17477.934108188412,2.8146120855497787e+37
17418.56819369448,2.8638208850495746e+37
17359.604201024216,2.920782841860692e+37
17301.038062283737,2.9633635603668853e+37
17242.865764290025,3.0235154086106837e+37
17185.083347654236,3.0993768140148893e+37
17127.68690588336,3.1550264614103315e+37
17070.67258449983,3.2408549644722803e+37
17014.036580178647,3.3300074961183223e+37
16957.775139901645,3.3898446265912778e+37
16901.884560128452,3.437261575579355e+37
16846.361185983827,3.480372294504896e+37
16791.20141046092,3.5229921574762242e+37
16736.401673640165,3.5627102630596323e+37
16681.95846192343,3.5993485889943708e+37
16627.868307283006,3.6376658852600915e+37
16574.127786525234,3.67727263344875e+37
16520.733520568312,3.7178992679020753e+37
16467.682173734047,3.758836560230905e+37
16414.970453053185,3.80349273633591e+37
16362.595107584062,3.845827283462734e+37
16310.55292774425,3.888097239708721e+37
16258.840744654906,3.9382661677682216e+37
16207.455429497568,3.989554675169822e+37
16156.393892883107,4.038279852892945e+37
16105.653084232566,4.0894274525128303e+37
16055.229991169623,4.1413495722041157e+37
16005.121638924456,4.199109726358461e+37
15955.325089748701,4.2517533049038945e+37
15905.837442341339,4.301125461771136e+37
15856.655831285181,4.346091583430924e+37
15807.777426493836,4.389794711010008e+37
