wavelength,luminosity
20000.0,1.966475513073971e+37
19922.303018228908,1.9948950034041676e+37
19845.207382417146,2.0251695462282514e+37
19768.706138183254,2.0573780666200094e+37
19692.792437967706,2.0881234321716165e+37
19617.4595389897,2.1177845542035232e+37
19542.700801250732,2.147024356946429e+37
19468.50968558357,2.1769516155194035e+37
19394.87975174554,2.2081949023507097e+37
19321.804656554923,2.238995775307983e+37
19249.278152069295,2.2672626038718113e+37
19177.294083804773,2.2983790237001497e+37
19105.846388995033,2.3298929198729776e+37
19034.92909488912,2.3600605848712274e+37
18964.536317087048,2.389294667134841e+37
18894.66225791214,2.4147617662904365e+37
18825.301204819276,2.43785797495098e+37
18756.447528838038,2.4612940849776013e+37
18688.095683049898,2.486942467420333e+37
18620.240201098593,2.4957217176037937e+37
18552.875695732837,2.4853508817753527e+37
18485.996857380534,2.4783597047586324e+37
18419.59845275373,2.4759097165441303e+37
18353.675323483527,2.4819957077654256e+37
18288.2223847842,2.4937565316596523e+37
18223.234624145785,2.490197248259214e+37
18158.70710005448,2.4898275762167698e+37
18094.63494074007,2.521310007956662e+37
18031.013342949875,2.6144102625155904e+37
17967.83757074836,2.6642412755590143e+37
17905.102954341986,2.6800524655386914e+37
17842.80488892854,2.6915525018741653e+37
17780.938833570413,2.70536397521105e+37
17719.500310091258,2.7892713945997906e+37
17658.48490199541,2.859526392753761e+37
17597.88825340959,2.8930181552580694e+37
17537.7060680463,2.880989732475547e+37
17477.934108188412,2.869001841243335e+37
17418.56819369448,2.9080275720058677e+37
17359.604201024216,2.975603110902472e+37
17301.038062283737,3.012695665024423e+37
17242.865764290025,3.0592762017208733e+37
17185.083347654236,3.120616656307165e+37
17127.68690588336,3.16736899923632e+37
17070.67258449983,3.274661298430328e+37
17014.036580178647,3.4098510804399155e+37
16957.775139901645,3.499348525543379e+37
16901.884560128452,3.558255521076801e+37
16846.361185983827,3.606149537078956e+37
16791.20141046092,3.647395536023768e+37
16736.401673640165,3.6844376425295993e+37
16681.95846192343,3.721192982298105e+37
16627.868307283006,3.759733626218104e+37
16574.127786525234,3.798787462901113e+37
16520.733520568312,3.839149317387538e+37
16467.682173734047,3.878279773805043e+37
16414.970453053185,3.9200829152106953e+37
16362.595107584062,3.9628872107956193e+37
16310.55292774425,4.0066306064413186e+37
16258.840744654906,4.068737275383966e+37
16207.455429497568,4.1324594855437775e+37
16156.393892883107,4.180836477073149e+37
16105.653084232566,4.222174440308445e+37
16055.229991169623,4.264360673590209e+37
16005.121638924456,4.3181675075477485e+37
15955.325089748701,4.373599604031187e+37
15905.837442341339,4.424392212217999e+37
15856.655831285181,4.469788783801548e+37
15807.777426493836,4.515817466853425e+37
15759.19943266882,4.561131538491584e+37
15710.919088766692,4.604196329496298e+37
15662.933667475918,4.649695476430303e+37
15615.240474703309,4.695515737261506e+37
15567.836849069823,4.74173187414156e+37
15520.72016141549,4.792755066786547e+37
15473.887814313346,4.845104000220683e+37
15427.337241592102,4.900200454529586e+37
15381.065907867414,4.9556682474173745e+37
15335.07130808158,5.014226825515355e+37
15289.350967051449,5.071004312598872e+37
15243.90243902439,5.125684740947364e+37
15198.723307242191,5.183715971808779e+37
15153.811183512653,5.24462919163895e+37
15109.163707788774,5.305249697579924e+37
15064.778547755348,5.362152997372471e+37
15020.65339842283,5.418493839458311e+37
14976.78598172832,5.475430141820842e+37
14933.174046143507,5.53504616677481e+37
14889.815366289458,5.593721510348288e+37
14846.707742558088,5.652754332520716e+37
14803.849000740192,5.714108332917853e+37
14761.2369916599,5.773677562216946e+37
14718.869590815424,5.83537717289826e+37
14676.744698025977,5.896729661435913e+37
14634.860237084737,5.958867887807153e+37
14593.21415541773,6.019830115862383e+37
14551.804423748546,6.080945100800028e+37
14510.629035768701,6.139170522318905e+37
14469.686007813632,6.196919086281938e+37
14428.973378544119,6.261627429370724e+37
14388.489208633096,6.323465983668587e+37
14348.23158045771,6.385287161504688e+37
14308.198597796538,6.445612734911299e+37
14268.388385531856,6.507483084277889e+37
14228.79908935686,6.569009023828228e+37
14189.428875487763,6.629433558674247e+37
14150.275930380643,6.684440592765043e+37
14111.338460452975,6.741826628149044e+37
14072.61469180974,6.801423181350039e+37
14034.10286997404,6.865336686837196e+37
13995.801259622114,6.926763357008652e+37
13957.708144322703,6.991621791330514e+37
13919.821826280626,7.060584245984323e+37
13882.140626084543,7.128132433071727e+37
13844.662882458813,7.198222917669815e+37
13807.386952019331,7.26773241282251e+37
13770.311209033325,7.3337339106630715e+37
13733.434045183,7.384646394121581e+37
13696.75386933297,7.429025615157203e+37
13660.269107301414,7.478122646969381e+37
13623.978201634878,7.531518615511396e+37
13587.879611386645,7.590326183554722e+37
13551.971811898633,7.647677379791472e+37
13516.253294586742,7.703530650117526e+37
13480.722566729579,7.765078262348622e+37
13445.378151260506,7.830217414281208e+37
13410.218586562962,7.895312955704083e+37
13375.242426268976,7.9685552887894285e+37
13340.448239060834,8.080212908676321e+37
13305.834608475818,8.193099600154511e+37
13271.400132714003,8.286297233171853e+37
13237.143424449005,8.374015232877356e+37
13203.06311064167,8.4501170939135405e+37
13169.157832356621,8.522327538317117e+37
13135.426244581637,8.597778474393693e+37
13101.867016049788,8.67372816366393e+37
13068.478829064297,8.751606149753297e+37
13035.260379326079,8.830624991697498e+37
13002.210375763882,8.911613248778876e+37
12969.327540367032,8.985562776296627e+37
12936.610608020701,9.058118099009444e+37
12904.058326343637,9.128017594178975e+37
12871.669455528383,9.193544378786078e+37
12839.442768183862,9.261289863461534e+37
12807.37704918033,9.329976543742667e+37
12775.471095496649,9.404649558868669e+37
12743.723716069837,9.478799634522785e+37
12712.133731646858,9.55768212472966e+37
12680.6999746386,9.635924287054826e+37
12649.42128897603,9.717182623108373e+37
12618.296529968455,9.800678937549968e+37
12587.324564163888,9.891344167842105e+37
12556.504269211451,9.981690988847342e+37
12525.83453372581,1.006960493364261e+38
12495.314257153568,1.0155566510763921e+38
12464.942349641633,1.0238944695532358e+38
12434.717731907487,1.0320604623541156e+38
12404.639335111333,1.0399784824447977e+38
12374.706100730109,1.0478284488530951e+38
12344.916980433307,1.0560293741525853e+38
12315.270935960592,1.0643290062308483e+38
12285.766939001167,1.072951338489995e+38
12256.403971074888,1.081465366156368e+38
12227.181023415053,1.0892427655535624e+38
12198.09709685289,1.096978371763502e+38
12169.15120170368,1.1051496545704977e+38
12140.342357654488,1.113644365023241e+38
12111.669593653487,1.1222424007724444e+38
12083.13194780087,1.1306718703699416e+38
12054.728467241277,1.1394984313335934e+38
12026.458208057727,1.149142420227618e+38
11998.320235167079,1.159010370856539e+38
11970.313622216903,1.1687911594774686e+38
11942.437451483847,1.1781935813387747e+38
11914.690813773383,1.188504120933983e+38
11887.072808320952,1.1989976562749897e+38
11859.582542694498,1.2093386564594059e+38
11832.21913269834,1.2195081534035905e+38
11804.981702278363,1.2297503706342109e+38
11777.869383428537,1.2404225743402603e+38
11750.881316098707,1.2511118099132575e+38
11724.016648103641,1.2610148972511564e+38
11697.274535033339,1.271461593095159e+38
11670.654140164557,1.281965793234989e+38
11644.154634373546,1.2920742499505938e+38
11617.775196049957,1.3020643332406678e+38
11591.51501101194,1.3111994806505081e+38
11565.373272422368,1.31985000687272e+38
11539.34918070621,1.328841669834106e+38
11513.441943469,1.3376942085344381e+38
11487.650775416429,1.3466983229017763e+38
11461.974898274973,1.3562973831248154e+38
11436.413540713633,1.3661377950500196e+38
11410.965938266676,1.3751727890340728e+38
11385.63133325743,1.3840108715833079e+38
11360.40897472309,1.3921567055279359e+38
11335.298118340514,1.4007353926136139e+38
11310.298026352993,1.4095730247726921e+38
11285.407967498026,1.4189380416847687e+38
11260.627216935984,1.4280712755806348e+38
11235.955056179775,1.4377729335213372e+38
11211.390773025394,1.4484199489165693e+38
11186.933661483388,1.4594273566943122e+38
11162.583021711223,1.4707870956993638e+38
11138.338159946536,1.4810569368833489e+38
11114.198388441235,1.488343790378204e+38
11090.163025396474,1.4965888318725655e+38
11066.231394898468,1.506623583522893e+38
11042.402826855125,1.5156238295693907e+38
11018.676656933503,1.523276432621589e+38
10995.052226498075,1.5306032290585839e+38
10971.528882549783,1.5383746186783978e+38
10948.105977665866,1.5490937719764151e+38
10924.78286994046,1.560126537980037e+38
10901.558922925979,1.5708596649155921e+38
10878.433505575198,1.5813860667309927e+38
10855.405992184109,1.5916524167605726e+38
10832.475762335482,1.601815027887042e+38
10809.642200843153,1.6148167167073061e+38
10786.904697696997,1.6333951154600575e+38
10764.262648008611,1.6503107364537305e+38
10741.715451957678,1.6657185328468425e+38
10719.262514738984,1.6800248197825283e+38
10696.903246510135,1.6934014065420203e+38
10674.63706233988,1.7058999160023143e+38
10652.463382157124,1.7173974356741113e+38
10630.381630700542,1.729157275140317e+38
10608.391237468839,1.7412540383638703e+38
10586.491636671606,1.7529571766575194e+38
10564.682267180815,1.764172582740165e+38
10542.96257248287,1.7755778578639226e+38
10521.33200063128,1.787332970020158e+38
10499.790004199916,1.7994849889363178e+38
10478.33604023681,1.8120892451502094e+38
10456.96957021855,1.826374969160082e+38
10435.690060005218,1.8401753931378005e+38
10414.496979795875,1.8527506933412987e+38
10393.389804084602,1.864492074868574e+38
10372.36801161705,1.8753157471214586e+38
10351.431085347549,1.885709087308997e+38
10330.578512396694,1.8964663435434885e+38
10309.809784009485,1.907571710592137e+38
10289.124395513942,1.919420944408912e+38
10268.52184628023,1.9313245075118398e+38
10248.001639680264,1.9434242080760507e+38
10227.563283047815,1.9559140704354965e+38
10207.206287639074,1.968850315861801e+38
10186.930168593695,1.9817177823572993e+38
10166.7344448963,1.9943586141908647e+38
10146.618639338441,2.0063792758796267e+38
10126.582278481013,2.018060597550482e+38
10106.62489261711,2.0301275131251786e+38
10086.746015735325,2.0420148676498823e+38
10066.945185483466,2.0543288213776763e+38
10047.221943132723,2.0670925034142887e+38
10027.57583354224,2.079401711288335e+38
10008.006405124099,2.0912486372610315e+38
9988.513209808722,2.1025486518270876e+38
9969.095803010667,2.113163083166637e+38
9949.753743594847,2.123581145855263e+38
9930.486593843098,2.1344264645462806e+38
9911.293919421181,2.1451301101251156e+38
9892.175289346129,2.1555298036745743e+38
9873.130275953992,2.1650582536125844e+38
9854.158454867955,2.1741900781846793e+38
9835.259404966806,2.1834513453917706e+38
9816.432708353785,2.193029413032657e+38
9797.677950325773,2.202842309804453e+38
9778.99471934285,2.212375528047088e+38
9760.382606998195,2.2098864244117456e+38
9741.84120798831,2.2034671954507826e+38
9723.370120083622,2.195167433291233e+38
9704.968944099379,2.190363928034334e+38
9686.637283866905,2.186321487303977e+38
9668.374746205162,2.1825238718738722e+38
9650.180940892642,2.1849918283422223e+38
9632.055480639568,2.18547418783295e+38
9613.997981060424,2.1896461033571557e+38
9596.008060646773,2.1944904252354965e+38
9578.085340740385,2.2039036644353706e+38
9560.229445506693,2.2125486552107407e+38
9542.44000190849,2.2249551162692415e+38
9524.71663967997,2.2373141922857727e+38
9507.05899130104,2.251868231798002e+38
9489.466691971911,2.268621192293726e+38
9471.939379587971,2.354254977575937e+38
9454.476694714947,2.427902904491484e+38
9437.078280564338,2.4820689258787366e+38
9419.743782969103,2.521050132179823e+38
9402.472850359645,2.5505460193620024e+38
9385.265133740028,2.5731155169953443e+38
9368.120286664482,2.5941895939155212e+38
9351.037965214138,2.613966442888545e+38
9334.017827974052,2.632067053536774e+38
9317.059536010434,2.649624134774594e+38
9300.162752848175,2.666856549335769e+38
9283.32714444857,2.683461378512403e+38
9266.552379187324,2.6992510732131408e+38
9249.838127832763,2.714093705006044e+38
9233.184063524306,2.7286573962691737e+38
9216.589861751152,2.743692044214967e+38
9200.055200331202,2.7592605382771733e+38
9183.57975939021,2.774946050773536e+38
9167.163221341156,2.790587784449114e+38
9150.805270863837,2.805617873755009e+38
9134.505594884677,2.8181356940814957e+38
9118.263882556761,2.8256919179221966e+38
9102.079825240067,2.825806195723057e+38
9085.953116481918,2.8201197185841392e+38
9069.883451997643,2.814466772314801e+38
9053.870529651425,2.807892445072022e+38
9037.91404943739,2.80574846398637e+38
9022.013713460845,2.803349346970502e+38
9006.169225919755,2.804168029094483e+38
8990.380293086399,2.8077601510864825e+38
8974.646623289209,2.81221800253009e+38
8958.967926894822,2.8187510938325384e+38
8943.343916290301,2.8245863579362795e+38
8927.774305865549,2.834448924541467e+38
8912.2588119959,2.8453707021879174e+38
8896.79715302491,2.856139924157506e+38
8881.389049247302,2.8679956923869944e+38
8866.0342228921,2.890270591561416e+38
8850.732398105944,2.919595435253219e+38
8835.483300936561,2.9759962541521235e+38
8820.286659316427,3.0489239177898786e+38
8805.142203046578,3.105655290991509e+38
8790.0496637806,3.149083251705682e+38
8775.008775008775,3.1846502699742643e+38
8760.019272042398,3.2144713053414876e+38
8745.080891998252,3.2400396449053238e+38
8730.19337378323,3.26290548437559e+38
8715.356458079135,3.2836619678904274e+38
8700.56988732762,3.303530503664421e+38
8685.833405715279,3.322620811652454e+38
8671.146759158899,3.341564535489301e+38
8656.509695290859,3.360242574567561e+38
8641.92196344467,3.3788104786902444e+38
8627.383314640669,3.3967453874090063e+38
8612.893501571853,3.415049988807793e+38
8598.452278589853,3.433599510309575e+38
8584.05940169106,3.451901930639598e+38
8569.714628502872,3.47045308793819e+38
8555.417718270095,3.488812704685677e+38
8541.168431841475,3.506620815590557e+38
8526.966531656362,3.5233206923960125e+38
8512.811781731505,3.5390265202011594e+38
8498.703947647984,3.553916814897758e+38
8484.642796538266,3.5687343288797594e+38
8470.628097073397,3.5834944042647994e+38
8456.659619450318,3.5979320945910294e+38
8442.73713537929,3.611715595256423e+38
8428.860418071477,3.625298681916502e+38
8415.029242226616,3.635916579761261e+38
8401.243384020836,3.6458881618591356e+38
8387.502621094569,3.655241161229811e+38
8373.806732540612,3.66288298985687e+38
8360.15549889228,3.670132067682693e+38
8346.548702111677,3.677422533890081e+38
8332.986125578102,3.684726300702704e+38
8319.46755407654,3.687694626448654e+38
8305.992773786287,3.689564320282801e+38
8292.561572269675,3.6937150213061724e+38
8279.1737384609,3.701373175407136e+38
8265.829062654984,3.709522926433193e+38
8252.527336496802,3.717479655400684e+38
8239.268352970255,3.7264622774682756e+38
8226.051906387529,3.735014104515371e+38
8212.87779237845,3.7432103211414945e+38
8199.745807879955,3.752531598348154e+38
8186.655751125665,3.761816343022552e+38
8173.607421635538,3.7812546476379895e+38
8160.600620205647,3.8043068225939e+38
8147.635148898032,3.829099934671935e+38
8134.710811030667,3.854502031596471e+38
8121.827411167513,3.880382687080771e+38
8108.98475510866,3.906920250738009e+38
8096.182649880581,3.933473209847025e+38
8083.420903726457,3.9638800995696386e+38
8070.6993260966065,3.995197792398422e+38
8058.017727639,4.02648452524556e+38
8045.37592018987,4.057791957445794e+38
8032.773716764399,4.0890510433086216e+38
8020.2109315475,4.120438390795008e+38
8007.68737988469,4.151831077003726e+38
7995.202878273038,4.183054389084656e+38
7982.7572443522,4.21475328218744e+38
7970.350296895549,4.2462644682261576e+38
7957.98185580137,4.280144486496394e+38
7945.651742084146,4.316183031715637e+38
7933.359777865927,4.350732082435501e+38
7921.105786367778,4.385635759924172e+38
7908.889591901298,4.42293092753993e+38
7896.711019860229,4.459457903366763e+38
7884.569896712135,4.495223577082783e+38
7872.46604999016,4.530077444675465e+38
7860.399308284863,4.564006085426929e+38
7848.369501236119,4.596221825226546e+38
7836.376459525117,4.6273551680434796e+38
7824.420014866399,4.65440961240047e+38
7812.500000000001,4.6782230028964046e+38
7800.6162486836465,4.70113608793359e+38
7788.768595685023,4.722040077153593e+38
7776.956876774119,4.742254252188411e+38
7765.18092871564,4.761646341551952e+38
7753.440589261486,4.7809337279455565e+38
7741.7356971433,4.799705891067276e+38
7730.066092065088,4.818324316334692e+38
7718.4316146958945,4.83768749759207e+38
7706.832106662557,4.857413401059711e+38
7695.267410542517,4.8763452993864845e+38
7683.737369856699,4.894857396193427e+38
7672.241829062453,4.913225183384288e+38
7660.780633546559,4.906139848389644e+38
7649.353629618298,4.884459698277191e+38
7637.960664502579,4.856259864111241e+38
7626.60158633313,4.82322955146992e+38
7615.276244145758,4.792310183776612e+38
7603.984487871646,4.756952442180134e+38
7592.72616833074,4.714006096439595e+38
7581.501137225171,4.6757422311572636e+38
7570.309247132746,4.634481974157566e+38
7559.150351500492,4.58983310555545e+38
7548.024304638262,4.551963443844691e+38
7536.930961712392,4.511007438627853e+38
7525.8701787394175,4.472032663397137e+38
7514.841812579846,4.435850350312472e+38
7503.845720931979,4.399712040551114e+38
7492.881762325792,4.368923096380223e+38
7481.949796116869,4.33685055501487e+38
7471.0496824803895,4.310503485478174e+38
7460.181282405163,4.286012593551e+38
7449.344457687725,4.266804129627167e+38
7438.539070926471,4.3243030112034175e+38
7427.764985515859,4.4033964179681904e+38
7417.022065640646,4.4918278690933665e+38
7406.310176270184,4.579037310991677e+38
7395.629183152757,4.668282936759013e+38
7384.9789528099855,4.7497429657903615e+38
7374.35935253125,4.8299526404674205e+38
7363.770250368189,4.9075036583883414e+38
7353.211515129234,4.975895127873391e+38
7342.683016374184,5.040309924094141e+38
7332.184624408843,5.100763281441385e+38
7321.71621027969,5.158060107632224e+38
7311.277645768599,5.2130076733770704e+38
7300.868803387603,5.262079177679221e+38
7290.489556373712,5.307725021257363e+38
7280.1397786837515,5.348445502067723e+38
7269.819344989278,5.3846217551012315e+38
7259.528130671507,5.418435048715865e+38
7249.266011816305,5.4475118576419456e+38
7239.032865209209,5.4718587010792565e+38
7228.828568330503,5.49455549705615e+38
7218.652999350322,5.5151932963074165e+38
7208.506037123808,5.535123945501142e+38
7198.387561186295,5.5556663897016184e+38
7188.2974517485545,5.5767870810791885e+38
7178.2355896920535,5.5969639880165195e+38
7168.201856564282,5.615353976475549e+38
7158.196134574087,5.632263438516971e+38
7148.218306587084,5.646951111919053e+38
7138.268256121066,5.640308398627683e+38
7128.345867341483,5.577954171969435e+38
7118.451025056948,5.4919833467545855e+38
7108.583614714769,5.400522428897671e+38
7098.743522396537,5.298059141238245e+38
7088.930634813739,5.191069750710234e+38
7079.144839303413,5.077565191803345e+38
7069.386023823831,4.958981564884336e+38
7059.65407695023,4.826534553471621e+38
7049.948887870563,4.7040292301529545e+38
7040.270346381302,4.576675398489887e+38
7030.618342883256,4.453545742715374e+38
7020.9927683774495,4.342358962387066e+38
7011.393514461,4.223297727648762e+38
7001.820473323064,4.132245795760367e+38
6992.273537740797,4.0439857443935445e+38
6982.752601075345,3.963627429096999e+38
6973.257557267878,3.901623875189819e+38
6963.788300835656,3.851264243916446e+38
6954.344726868112,3.8045943776250384e+38
6944.926731022989,3.773250923491638e+38
6935.53420952249,3.757541262550251e+38
6926.167059149468,3.9201509048972585e+38
6916.825177243645,4.151025441684001e+38
6907.508461697866,4.446704242550307e+38
6898.216810954369,4.762728310984741e+38
6888.950124001103,5.089608606169752e+38
6879.708300368065,5.398921162280803e+38
6870.491240123669,5.6827175007403234e+38
6861.298843871145,5.898919998349694e+38
6852.131012744964,6.083616211882362e+38
6842.987648407296,6.21994788823207e+38
6833.868653044489,6.3370658970046046e+38
6824.7739293635905,6.428683345571216e+38
6815.703380588878,6.513929891385509e+38
6806.65691045843,6.605702876902866e+38
6797.634423220719,6.6838876749778985e+38
6788.635823631242,6.757023671234238e+38
6779.661016949153,6.823870587198056e+38
6770.709908933953,6.889103592034431e+38
6761.782405842181,6.954763465809638e+38
6752.878414424149,7.020454220829484e+38
6743.997841920692,7.088244517275984e+38
6735.140596059943,7.158541312171386e+38
6726.306585054148,7.229557544978689e+38
6717.49571759648,7.301671205644859e+38
6708.70790285791,7.376902834151193e+38
6699.943050484071,7.452012609504107e+38
6691.201070592172,7.524288325099902e+38
6682.481873767918,7.590841282445184e+38
6673.785371062468,7.6570292293673e+38
6665.111473989403,7.724962290838019e+38
6656.460094521734,7.793925020022174e+38
6647.831145088916,7.859659215576197e+38
6639.224538573895,7.925278457340187e+38
6630.640188310182,7.985760127878594e+38
6622.078008078935,8.042105182352486e+38
6613.537912106081,8.095892586805034e+38
6605.019815059446,8.147430255952332e+38
6596.523632045913,8.192962826434902e+38
6588.049278608604,8.233405745906199e+38
6579.596670724085,8.267942364305717e+38
6571.16572479958,8.303338854411018e+38
6562.756357670222,8.339157295985833e+38
6554.368486596317,8.374651780169428e+38
6546.00202926063,8.410437574679425e+38
6537.656903765691,8.44636659329483e+38
6529.333028631126,8.481819728489776e+38
6521.030322791002,8.517712469865793e+38
6512.748705591196,8.554216237432922e+38
6504.488096786783,8.592936739572745e+38
6496.248416539449,8.638240813144923e+38
6488.02958541491,8.632023551588229e+38
6479.831524380366,8.59418212756849e+38
6471.654154801968,8.507283080016639e+38
6463.497398442298,8.396412778214051e+38
6455.361177457879,8.280959929034226e+38
6447.2454143967,8.145606125030173e+38
6439.15003219575,7.994017269695252e+38
6431.074954178592,7.843312034125162e+38
6423.020104052926,7.669285570920342e+38
6414.985405908202,7.486815448886334e+38
6406.970784213225,7.286155645293045e+38
6398.976163813791,7.081441839065303e+38
6391.001469930338,6.865600275601498e+38
6383.046628155619,6.644627480600369e+38
6375.111564452378,6.4200661440033805e+38
