 lambda_center tau_sobolev
0 84.574 142321.1191693674
1 104.574 14752.295289163198
2 124.57400000000001 263403.72377947264
3 144.574 2021.1557926480443
4 164.574 2198.635403187378
5 184.574 87707.09888503667
6 204.574 1038.063536408901
7 224.574 7308.05475333879
8 244.574 7957.814744604122
9 264.574 95746.3689841385
10 284.574 164582.61557382383
11 304.574 23176.53264689604
12 324.574 9187.126449830348
13 344.574 155591.06194304678
14 364.574 84476.60469307256
15 384.574 184121.13574324068
16 404.574 31739.96104759941
17 424.574 34659.69066542528
18 444.574 46629.90501893222
19 464.574 69297.59042040253
20 484.574 153271.4293668148
21 504.57399999999996 151558.03458519172
22 524.574 91714.69450077416
23 544.574 276683.7934353738
24 564.574 52017.9047919405
25 584.574 6585.866741837649
26 604.574 51802.51351572597
27 624.574 80822.77306186702
28 644.574 23109.826765123806
29 664.574 14822.471961468249
30 684.574 20228.116210217457
31 704.574 93034.07875851932
32 724.574 71218.81800809482
33 744.574 55844.48846406528
34 764.574 208110.73339738685
35 784.574 181921.31721291092
36 804.574 200501.69192258074
37 824.574 39677.72277533927
38 844.574 63805.23022430898
39 864.574 103428.92336289193
40 884.574 34770.74573058544
41 904.574 10402.624619833501
42 924.574 104896.69993694877
43 944.574 208887.1693207806
44 964.574 6708.753969587817
45 984.574 7994.716733664302
46 1004.574 4724.304508433013
47 1024.574 44234.789500058396
48 1044.574 84566.2645074721
49 1064.574 14127.74133433833
50 1084.574 6255.707861120528
51 1104.574 7966.9539564431
52 1124.574 4984.593584855692
53 1144.574 42867.58279100964
54 1164.574 21619.525241911102
55 1184.574 13440.166201373559
56 1204.574 1345.5538786639715
57 1224.574 52611.06252422567
58 1244.574 36748.43981518151
59 1264.574 20859.892874231253
60 1284.574 43298.26112390721
61 1304.574 6076.675488578333
62 1324.574 1322.4012802523205
63 1344.574 4089.0958041457325
64 1364.574 6414.264212601545
65 1384.574 4952.52543489736
66 1404.574 4521.866982645478
67 1424.574 56142.94503009302
68 1444.574 18933.558928842293
69 1464.574 18983.59105617158
70 1484.574 10647.119752488765
71 1504.574 2118.1935434318248
72 1524.574 5530.028768786687
73 1544.574 7407.375508229287
74 1564.574 5939.93166590555
75 1584.574 26917.82207819273
76 1604.574 20358.03076242571
77 1624.574 61787.19008322639
78 1644.574 5481.795786129745
79 1664.574 24388.78174427223
80 1684.574 8095.545843394302
81 1704.574 20991.412662805204
82 1724.574 3383.3270456267414
83 1744.574 2611.0123577155346
84 1764.574 2773.720543232556
85 1784.574 4384.610455392955
86 1804.574 6329.3974781901
87 1824.574 2089.662881112304
88 1844.574 4861.401764364927
89 1864.574 1048.125301821179
90 1884.574 15522.687919318076
91 1904.574 44469.11696310143
92 1924.574 1876.4621481468919
93 1944.574 1575.1286879781212
94 1964.574 11811.91126573352
95 1984.574 20870.602645629373
96 2004.574 13756.531737554613
97 2024.574 25389.56068744441
98 2044.574 19250.085363620074
99 2064.574 69649.07863240528
100 2084.574 16330.2937348001
101 2104.574 11075.931515830252
102 2124.574 1435.4041298517884
103 2144.574 11728.113086252273
104 2164.574 24414.96705076394
105 2184.574 8457.668197500323
106 2204.574 7090.404981015328
107 2224.574 17114.2339218692
108 2244.574 79226.86562340855
109 2264.574 135747.59732380242
110 2284.574 27030.957670104908
111 2304.574 27591.61385247561
112 2324.574 28031.319635474018
113 2344.574 52359.587814887884
114 2364.574 47385.39307124066
115 2384.574 30740.378367202018
116 2404.574 11448.211543149944
117 2424.574 4567.064360525314
118 2444.574 14258.084116404672
119 2464.574 16758.28327425192
120 2484.574 5712.480937424463
121 2504.574 18807.563274436838
122 2524.574 22089.60491266503
123 2544.574 19019.530937198128
124 2564.574 17793.949551554328
125 2584.574 18215.411529840658
126 2604.574 9475.317271506785
127 2624.574 16456.043840037408
128 2644.574 21678.02656130567
129 2664.574 9237.893958664612
130 2684.574 42094.211053044055
131 2704.574 21557.416107505607
132 2724.574 6766.718319294538
133 2744.574 11171.718807010076
134 2764.574 18921.671697782323
135 2784.574 226.1015836785618
136 2804.574 359.4193442043144
137 2824.574 5994.916035052605
138 2844.574 6428.484003435939
139 2864.574 71218.93078688392
140 2884.574 13475.31461879088
141 2904.574 4306.049871995971
142 2924.574 4647.895213934051
143 2944.574 577.622390256278
144 2964.574 4372.064494069176
145 2984.574 10663.153379620027
146 3004.574 74818.0741456055
147 3024.574 16846.819716606013
148 3044.574 7479.441921906286
149 3064.574 47557.93357301738
150 3084.574 15755.61120208757
151 3104.574 10082.911489837566
152 3124.574 26578.865286983742
153 3144.574 17146.98052046285
154 3164.574 2367.9708409593172
155 3184.574 25429.33675359237
156 3204.574 18862.50881759284
157 3224.574 16366.984185757103
158 3244.574 9694.937484918099
159 3264.574 2441.2545556864193
160 3284.574 161.92383556112208
161 3304.574 85.86976428468691
162 3324.574 605.5132991700834
163 3344.574 47242.91308943184
164 3364.574 28105.102122483375
165 3384.574 14679.29562133402
166 3404.574 651.3185421656068
167 3424.574 0.7096854300734179
168 3444.574 21461.77570783673
169 3464.574 2182.5822371942863
170 3484.574 2701.538430198249
171 3504.574 5721.548675229458
172 3524.574 2873.312442853923
173 3544.574 320.3492270865635
174 3564.574 208.4965200625623
175 3584.574 450.8962588673108
176 3604.574 73.91510887570203
177 3624.574 4966.762494531556
178 3644.574 3083.0013124299026
179 3664.574 2458.088354205686
180 3684.574 2337.1028681646085
181 3704.574 2256.155195461352
182 3724.574 4016.29773709868
183 3744.574 1454.8688713368376
184 3764.574 600.8325190766209
185 3784.574 1615.500744741686
186 3804.574 2229.357294100255
187 3824.574 2778.000076180133
188 3844.574 7425.253903435626
189 3864.574 1902.35176569407
190 3884.574 611.3651427775349
191 3904.574 10021.029298912032
192 3924.574 210.98254752070332
193 3944.574 16.853918111070218
194 3964.574 79435.70014436689
195 3984.574 12158.084464150943
196 4004.574 4123.964466173549
197 4024.574 639.0853687026415
198 4044.574 753.2741322181084
