 lambda_center tau_sobolev
0 85.248 2921.016628410177
1 105.248 7726.691642842343
2 125.24799999999999 35593.050539297685
3 145.248 76.43650798724559
4 165.248 1042.7268270004379
5 185.248 1312.3433813121562
6 205.248 23.290117061373387
7 225.248 1478.4302610475988
8 245.248 6217.575125498264
9 265.248 20310.342563737468
10 285.248 6335.888253801616
11 305.248 817.0297556644311
12 325.248 9953.654258979006
13 345.248 39520.27533254579
14 365.248 26840.33560474509
15 385.248 37730.299678825424
16 405.248 5850.993411992941
17 425.248 19991.49283809197
18 445.248 5399.061275360936
19 465.248 21895.055487993144
20 485.248 41114.37209695437
21 505.24800000000005 35945.90754140539
22 525.248 5756.869675617327
23 545.248 61770.753985032716
24 565.248 5150.632818917938
25 585.248 3127.4714606964712
26 605.248 4247.133632364378
27 625.248 19352.418535356872
28 645.248 5522.190652658322
29 665.248 7406.2515156747595
30 685.248 12002.45355989651
31 705.248 2772.9464400732886
32 725.248 32816.76254545857
33 745.248 10844.471796276574
34 765.248 44801.474478620534
35 785.248 10744.04617784401
36 805.248 18213.792030018118
37 825.248 20546.47200377509
38 845.248 28965.9929294138
39 865.248 47222.8728245447
40 885.248 7329.25155117331
41 905.248 8904.008169869827
42 925.248 14975.683788576953
43 945.248 5556.208770496808
44 965.248 1590.4758154417755
45 985.248 5524.513182293059
46 1005.248 1394.7754333715225
47 1025.248 10946.58889562599
48 1045.248 6464.942002915988
49 1065.248 3394.436548258435
50 1085.248 1550.8800169731423
51 1105.248 805.7651677102593
52 1125.248 27926.322511828897
53 1145.248 8650.784825092736
54 1165.248 3643.339370625608
55 1185.248 2033.9339739535953
56 1205.248 3656.4153067579955
57 1225.248 8930.72653280607
58 1245.248 1212.4358178570344
59 1265.248 2446.704875356517
60 1285.248 3671.464785207305
61 1305.248 1752.2403369998447
62 1325.248 129.1511504770136
63 1345.248 254.75489558708108
64 1365.248 595.5397593526576
65 1385.248 5025.379200765264
66 1405.248 2129.2781001025683
67 1425.248 1116.950201333087
68 1445.248 2198.6531347542177
69 1465.248 248.59200568924854
70 1485.248 462.5959704352655
71 1505.248 3602.332882798453
72 1525.248 643.4201584125572
73 1545.248 803.1137473156135
74 1565.248 5536.12402154212
75 1585.248 722.4070463561777
76 1605.248 7954.558778447648
77 1625.248 12701.772825082762
78 1645.248 1086.1592669455467
79 1665.248 1274.40196720206
80 1685.248 9156.928238508466
81 1705.248 173.99766429222083
82 1725.248 492.82980256369075
83 1745.248 183.66576766939062
84 1765.248 2046.93898643114
85 1785.248 701.6143498832191
86 1805.248 822.0955446338938
87 1825.248 467.51041072447055
88 1845.248 556.3791181713663
89 1865.248 377.32384751013893
90 1885.248 2547.2188827734276
91 1905.248 7984.9171726454915
92 1925.248 1908.6988557251816
93 1945.248 4714.885876357804
94 1965.248 1225.3652140552042
95 1985.248 3137.692257685479
96 2005.248 3304.379673064335
97 2025.248 46.90953242229909
98 2045.248 83.57624655518183
99 2065.248 730.8508528752915
100 2085.248 743.3696333322498
101 2105.248 390.04906080700647
102 2125.248 7082.301038970805
103 2145.248 8086.602382650503
104 2165.248 4443.359375113797
105 2185.248 2291.647820095684
106 2205.248 4498.035657579446
107 2225.248 5636.452439408791
108 2245.248 10192.650829410748
109 2265.248 15453.72403826861
110 2285.248 3834.0620797237852
111 2305.248 15846.388296298279
112 2325.248 2476.18878852006
113 2345.248 755.177079605614
114 2365.248 9706.382691624704
115 2385.248 503.4990443340229
116 2405.248 1326.465728664314
117 2425.248 126.3866264747962
118 2445.248 2218.868361648307
119 2465.248 1316.286480123248
120 2485.248 9422.785148532443
121 2505.248 611.6240382025235
122 2525.248 1215.0316333828955
123 2545.248 5815.66332896229
124 2565.248 11715.783097118314
125 2585.248 1820.8268312011508
126 2605.248 6973.4639441450945
127 2625.248 4272.521711116659
128 2645.248 3405.120032012328
129 2665.248 2241.7027721262693
130 2685.248 1553.8548713528828
131 2705.248 197.14213742411562
132 2725.248 20329.852747446315
133 2745.248 3359.45364875283
134 2765.248 1283.9734443520592
135 2785.248 472.13672123023264
136 2805.248 91.30428435739437
137 2825.248 66.99641120030562
138 2845.248 525.6776705522138
139 2865.248 341.8421978676382
140 2885.248 626.9270952637266
141 2905.248 922.8320420197392
142 2925.248 36.89734295247305
143 2945.248 149.6369344600124
