 lambda_center tau_sobolev
0 85.248 134566.98820310985
1 105.248 52354.954897909505
2 125.24799999999999 56543.15150438337
3 145.248 90245.3203537752
4 165.248 10443.980899531569
5 185.248 3464.8956643197075
6 205.248 17396.68701849071
7 225.248 965.9876099539222
8 245.248 6510.691497172269
9 265.248 73075.17136140344
10 285.248 64829.667739566874
11 305.248 2036.273243800659
12 325.248 2150.936824840018
13 345.248 89906.19442499083
14 365.248 33227.85682215734
15 385.248 34772.80944950993
16 405.248 11202.769633838137
17 425.248 8811.214051285882
18 445.248 63233.10740147432
19 465.248 8340.84008819738
20 485.248 113020.63058694798
21 505.24800000000005 88258.18347290656
22 525.248 24191.560574611907
23 545.248 71491.060760825
24 565.248 32927.49472997402
25 585.248 35788.31107322503
26 605.248 23635.144242883947
27 625.248 36887.92760651519
28 645.248 32176.43693583028
29 665.248 1977.2656722481602
30 685.248 4591.210381104633
31 705.248 15466.030507973765
32 725.248 122171.06373015203
33 745.248 32342.34508752792
34 765.248 58265.07432038678
35 785.248 71637.4337560061
36 805.248 38409.81950937399
37 825.248 17722.15987247115
38 845.248 46528.82199419344
39 865.248 105028.2520520817
40 885.248 5833.623324182092
41 905.248 2462.583273791081
42 925.248 36616.06684330145
43 945.248 17174.163883443634
44 965.248 33359.82417939843
45 985.248 2070.4431891710165
46 1005.248 23177.95426254596
47 1025.248 4646.967277359706
48 1045.248 2782.402928332326
49 1065.248 51.13397967064331
50 1085.248 1045.5032623621644
51 1105.248 2576.714883762997
52 1125.248 17370.858803942738
53 1145.248 1573.9770391839697
54 1165.248 21254.465425559392
55 1185.248 19991.88448983225
56 1205.248 6566.258266594712
57 1225.248 5730.881318783798
58 1245.248 32533.889447047015
59 1265.248 543.7522545243603
60 1285.248 1100.720751167652
61 1305.248 22686.43832734951
62 1325.248 191.6736724239724
63 1345.248 472.93216436153665
64 1365.248 26004.022239102924
65 1385.248 17945.958397545288
66 1405.248 5558.210457911632
67 1425.248 5841.131147615624
68 1445.248 9639.733780665
69 1465.248 29900.880272182156
70 1485.248 133.53104401694728
71 1505.248 6664.603724195708
72 1525.248 59.43234931689432
73 1545.248 24662.43912520187
74 1565.248 11160.517810845937
75 1585.248 17653.727507189687
76 1605.248 1802.0917537669316
77 1625.248 6659.426858526811
78 1645.248 2471.7682866709542
79 1665.248 14988.080478219015
80 1685.248 1331.47064535161
81 1705.248 713.6254749711055
82 1725.248 4086.2404027228126
83 1745.248 709.6128755772179
84 1765.248 942.7557294576083
85 1785.248 256.1666764052293
86 1805.248 58.18972308979532
87 1825.248 214.8968991946334
88 1845.248 598.7986432069387
89 1865.248 14328.738705573718
90 1885.248 9.14689939679632
91 1905.248 20153.717035718637
92 1925.248 17.132476807653596
93 1945.248 168.1508636428757
94 1965.248 283.5011002173974
95 1985.248 2040.9325098741078
96 2005.248 33419.723580273014
97 2025.248 23383.37101813746
98 2045.248 5043.364899333814
99 2065.248 18963.935376441248
100 2085.248 2498.5260924441423
101 2105.248 13584.838256558472
102 2125.248 6064.289324474229
103 2145.248 896.700200195455
104 2165.248 1409.1693850218796
105 2185.248 2865.1791102546144
106 2205.248 2111.236128744515
107 2225.248 4509.427287151558
