wavelength,luminosity
20000.0,2.0837103029050214e+37
19922.303018228908,2.1123911521545513e+37
19845.207382417146,2.1422825747029186e+37
19768.706138183254,2.1686164560955484e+37
19692.792437967706,2.202961987642236e+37
19617.4595389897,2.238012245765405e+37
19542.700801250732,2.2710390759821577e+37
19468.50968558357,2.303089316208183e+37
19394.87975174554,2.3341420687560373e+37
19321.804656554923,2.365403691549145e+37
19249.278152069295,2.3985928512915924e+37
19177.294083804773,2.4328990233887006e+37
19105.846388995033,2.4654383138179316e+37
19034.92909488912,2.4976149521652343e+37
18964.536317087048,2.5256935276742855e+37
18894.66225791214,2.555981678963656e+37
18825.301204819276,2.5825307697272176e+37
18756.447528838038,2.610876893024822e+37
18688.095683049898,2.635805893046284e+37
18620.240201098593,2.6456252032003575e+37
18552.875695732837,2.631267189083194e+37
18485.996857380534,2.620462784355755e+37
18419.59845275373,2.6164274430912195e+37
18353.675323483527,2.6193945286146546e+37
18288.2223847842,2.6253509722829877e+37
18223.234624145785,2.6108805278186207e+37
18158.70710005448,2.5976309107146464e+37
18094.63494074007,2.621046029249814e+37
18031.013342949875,2.7216288784667887e+37
17967.83757074836,2.782375301503196e+37
17905.102954341986,2.803839188156572e+37
17842.80488892854,2.815494762808646e+37
17780.938833570413,2.8297728399224114e+37
17719.500310091258,2.9325237720532137e+37
17658.48490199541,3.024206674583052e+37
17597.88825340959,3.069947303069251e+37
17537.7060680463,3.056333754650487e+37
17477.934108188412,3.0350748568252737e+37
17418.56819369448,3.067803582316099e+37
17359.604201024216,3.1418862844431236e+37
17301.038062283737,3.1843113844263625e+37
17242.865764290025,3.235922917308274e+37
17185.083347654236,3.304652431731179e+37
17127.68690588336,3.3585612390086833e+37
17070.67258449983,3.484101609602314e+37
17014.036580178647,3.6459588972535093e+37
16957.775139901645,3.7459435797782516e+37
16901.884560128452,3.810367164265947e+37
16846.361185983827,3.867771706466954e+37
16791.20141046092,3.9147655917812724e+37
16736.401673640165,3.948848746023044e+37
16681.95846192343,3.981833668019798e+37
16627.868307283006,4.0184324060343925e+37
16574.127786525234,4.0604836552015567e+37
16520.733520568312,4.1039826795278236e+37
16467.682173734047,4.1426039757239266e+37
16414.970453053185,4.1805381891887033e+37
16362.595107584062,4.2189169232108215e+37
16310.55292774425,4.26201344799542e+37
16258.840744654906,4.33254133107317e+37
16207.455429497568,4.40894537995137e+37
16156.393892883107,4.470197822113694e+37
16105.653084232566,4.52371332419736e+37
16055.229991169623,4.573508248766712e+37
16005.121638924456,4.639025329860716e+37
15955.325089748701,4.704086064114397e+37
15905.837442341339,4.768328155782034e+37
15856.655831285181,4.828535043094266e+37
15807.777426493836,4.881173813687519e+37
15759.19943266882,4.93270317154001e+37
15710.919088766692,4.987677917344746e+37
15662.933667475918,5.041570228134274e+37
15615.240474703309,5.099894839344851e+37
15567.836849069823,5.158161341258641e+37
15520.72016141549,5.215068794538738e+37
15473.887814313346,5.273335227666448e+37
15427.337241592102,5.331309904869082e+37
15381.065907867414,5.386671267195324e+37
15335.07130808158,5.440877352452184e+37
15289.350967051449,5.498370143527637e+37
15243.90243902439,5.553433183991747e+37
15198.723307242191,5.611450822587648e+37
15153.811183512653,5.669706021930048e+37
15109.163707788774,5.735252869998678e+37
15064.778547755348,5.794311794329721e+37
15020.65339842283,5.854060720396347e+37
14976.78598172832,5.91418664979089e+37
14933.174046143507,5.974934492703382e+37
14889.815366289458,6.03859616073889e+37
14846.707742558088,6.108203139112741e+37
14803.849000740192,6.179425135430363e+37
14761.2369916599,6.254275689495619e+37
14718.869590815424,6.327140798330546e+37
14676.744698025977,6.393610159385488e+37
14634.860237084737,6.460721818476736e+37
14593.21415541773,6.521052553839664e+37
14551.804423748546,6.580970525648491e+37
14510.629035768701,6.643968680713009e+37
14469.686007813632,6.708315205205928e+37
14428.973378544119,6.770710850017677e+37
14388.489208633096,6.829289681264866e+37
14348.23158045771,6.888999057811572e+37
14308.198597796538,6.950868878323189e+37
