wavelength,luminosity
20000.0,2.072345678997307e+37
19922.303018228908,2.1028767799249499e+37
19845.207382417146,2.1290625794346055e+37
19768.706138183254,2.161303573643407e+37
19692.792437967706,2.196733151935909e+37
19617.4595389897,2.2300373671194256e+37
19542.700801250732,2.2623235694914955e+37
19468.50968558357,2.29386528373926e+37
19394.87975174554,2.324756925469432e+37
19321.804656554923,2.3567453428733814e+37
19249.278152069295,2.3912994437724413e+37
19177.294083804773,2.422152679639716e+37
19105.846388995033,2.4551962224817604e+37
19034.92909488912,2.4848921802905585e+37
18964.536317087048,2.5171102422143204e+37
18894.66225791214,2.545397299392785e+37
18825.301204819276,2.5748073953204038e+37
18756.447528838038,2.6008689562178437e+37
18688.095683049898,2.62862445978998e+37
18620.240201098593,2.639573630516436e+37
18552.875695732837,2.6275511409482645e+37
18485.996857380534,2.620223829734747e+37
18419.59845275373,2.6186386010801326e+37
18353.675323483527,2.6230369657973038e+37
18288.2223847842,2.629760326691684e+37
18223.234624145785,2.61307479002278e+37
18158.70710005448,2.6021160183333244e+37
18094.63494074007,2.628032149411711e+37
18031.013342949875,2.72824976563113e+37
17967.83757074836,2.789995426427263e+37
17905.102954341986,2.806611581520834e+37
17842.80488892854,2.8164634410985565e+37
17780.938833570413,2.8248078772775067e+37
17719.500310091258,2.9252061884106015e+37
17658.48490199541,3.0147536919623164e+37
17597.88825340959,3.053867017464656e+37
17537.7060680463,3.0358913052921657e+37
17477.934108188412,3.0183507750612166e+37
17418.56819369448,3.050066466928726e+37
17359.604201024216,3.1266533674568508e+37
17301.038062283737,3.1736657110739497e+37
17242.865764290025,3.228901661558864e+37
17185.083347654236,3.2951399573435105e+37
17127.68690588336,3.3469822433097367e+37
17070.67258449983,3.469994742058883e+37
17014.036580178647,3.6298281284321393e+37
16957.775139901645,3.72923348550392e+37
16901.884560128452,3.8003005722810906e+37
16846.361185983827,3.852677814680264e+37
16791.20141046092,3.8945618135494737e+37
16736.401673640165,3.931632146962627e+37
16681.95846192343,3.9658334973491745e+37
16627.868307283006,4.0059721080584025e+37
16574.127786525234,4.047736068838476e+37
16520.733520568312,4.0873546617162186e+37
16467.682173734047,4.1236860527962514e+37
16414.970453053185,4.159450042567006e+37
16362.595107584062,4.201659583052153e+37
16310.55292774425,4.247292492889708e+37
16258.840744654906,4.318842753423781e+37
16207.455429497568,4.3941637828895025e+37
16156.393892883107,4.452250986062938e+37
16105.653084232566,4.503383905153476e+37
16055.229991169623,4.555945408441151e+37
16005.121638924456,4.6209787560336875e+37
15955.325089748701,4.690668301271094e+37
15905.837442341339,4.752948182718409e+37
15856.655831285181,4.805988023864161e+37
15807.777426493836,4.857660835883955e+37
15759.19943266882,4.912220051724488e+37
15710.919088766692,4.965567962179767e+37
15662.933667475918,5.023337883783279e+37
15615.240474703309,5.08078845714029e+37
15567.836849069823,5.136929459667694e+37
15520.72016141549,5.194701741217587e+37
15473.887814313346,5.25200817212108e+37
15427.337241592102,5.306752785464469e+37
15381.065907867414,5.360671293916388e+37
15335.07130808158,5.417375734294599e+37
15289.350967051449,5.471987900868546e+37
15243.90243902439,5.529889484420417e+37
15198.723307242191,5.587766565161253e+37
15153.811183512653,5.6527089747686575e+37
15109.163707788774,5.710516130653758e+37
15064.778547755348,5.769970436792387e+37
15020.65339842283,5.828990947670812e+37
14976.78598172832,5.889391986274992e+37
14933.174046143507,5.952638546811116e+37
14889.815366289458,6.021966095408643e+37
14846.707742558088,6.092532075921858e+37
14803.849000740192,6.166663214444163e+37
14761.2369916599,6.237924268857244e+37
14718.869590815424,6.303474159015655e+37
14676.744698025977,6.369194576304746e+37
14634.860237084737,6.428589216476112e+37
14593.21415541773,6.4882277372075425e+37
14551.804423748546,6.551242242489217e+37
14510.629035768701,6.614727700124387e+37
14469.686007813632,6.67620199238683e+37
