wavelength,luminosity
20000.0,2.114379501233534e+37
19922.303018228908,2.1425601424136913e+37
19845.207382417146,2.174699471698563e+37
19768.706138183254,2.2042328723902467e+37
19692.792437967706,2.2368751775950216e+37
19617.4595389897,2.2679769749500645e+37
19542.700801250732,2.2969102526354033e+37
19468.50968558357,2.3335618000943824e+37
19394.87975174554,2.369966736003268e+37
19321.804656554923,2.4051938330920126e+37
19249.278152069295,2.43973715793165e+37
19177.294083804773,2.4727817397441684e+37
19105.846388995033,2.50681032803578e+37
19034.92909488912,2.542078877841835e+37
18964.536317087048,2.5755531701928524e+37
18894.66225791214,2.6048361279473934e+37
18825.301204819276,2.632387118276228e+37
18756.447528838038,2.6572503385634173e+37
18688.095683049898,2.6861742477474145e+37
18620.240201098593,2.695535547417037e+37
18552.875695732837,2.6835357911449066e+37
18485.996857380534,2.668336566281696e+37
18419.59845275373,2.6596448313540595e+37
18353.675323483527,2.6562718575843954e+37
18288.2223847842,2.657454171029768e+37
18223.234624145785,2.6399147709732193e+37
18158.70710005448,2.629006091016457e+37
18094.63494074007,2.656184040842067e+37
18031.013342949875,2.7557888052657814e+37
17967.83757074836,2.814499974577765e+37
17905.102954341986,2.82841359462253e+37
17842.80488892854,2.8348100162772418e+37
17780.938833570413,2.8452687672852234e+37
17719.500310091258,2.9540241689338338e+37
17658.48490199541,3.0531538453351524e+37
17597.88825340959,3.1047763838462164e+37
17537.7060680463,3.0953172797250714e+37
17477.934108188412,3.082106974297952e+37
17418.56819369448,3.1191908022305247e+37
17359.604201024216,3.1968138597501355e+37
17301.038062283737,3.234221271893841e+37
17242.865764290025,3.2805125815244376e+37
17185.083347654236,3.3380308903102146e+37
17127.68690588336,3.386968001803837e+37
17070.67258449983,3.513725170118782e+37
17014.036580178647,3.683720831665417e+37
16957.775139901645,3.796562231536796e+37
16901.884560128452,3.8680080679226394e+37
16846.361185983827,3.921154181038882e+37
16791.20141046092,3.964846170327521e+37
16736.401673640165,3.999584803522792e+37
16681.95846192343,4.0383927603399235e+37
16627.868307283006,4.0787061925776718e+37
16574.127786525234,4.1133993791935566e+37
16520.733520568312,4.1507380234865763e+37
16467.682173734047,4.1886593156948183e+37
16414.970453053185,4.2302853916213427e+37
16362.595107584062,4.277577055958548e+37
16310.55292774425,4.322185540488388e+37
16258.840744654906,4.391684468546415e+37
16207.455429497568,4.4656052933745755e+37
16156.393892883107,4.524530725664513e+37
16105.653084232566,4.579940587235468e+37
16055.229991169623,4.635626723896028e+37
16005.121638924456,4.703652382685651e+37
15955.325089748701,4.7696802945841065e+37
15905.837442341339,4.826375764408037e+37
15856.655831285181,4.882228457886495e+37
15807.777426493836,4.93678331687398e+37
15759.19943266882,4.996525015765634e+37
15710.919088766692,5.058423896400508e+37
15662.933667475918,5.116098368019846e+37
15615.240474703309,5.169030713506782e+37
15567.836849069823,5.2247939300470525e+37
15520.72016141549,5.281529309981881e+37
15473.887814313346,5.339000379361933e+37
15427.337241592102,5.401169117051916e+37
15381.065907867414,5.46110458681701e+37
15335.07130808158,5.520708408525409e+37
15289.350967051449,5.582815593354303e+37
15243.90243902439,5.642982380042787e+37
15198.723307242191,5.699864650313425e+37
15153.811183512653,5.758754713311698e+37
