wavelength,luminosity
20000.0,2.0476894013164186e+37
19922.303018228908,2.0813151023431964e+37
19845.207382417146,2.1131981013866704e+37
19768.706138183254,2.1444270627724816e+37
19692.792437967706,2.1755966585786414e+37
19617.4595389897,2.2060189053017044e+37
19542.700801250732,2.2372571579194465e+37
19468.50968558357,2.270102527830353e+37
19394.87975174554,2.299655073431381e+37
19321.804656554923,2.3302706067966787e+37
19249.278152069295,2.358833759637093e+37
19177.294083804773,2.391133854898019e+37
19105.846388995033,2.4224583029067955e+37
19034.92909488912,2.4559412024327546e+37
18964.536317087048,2.484230969484663e+37
18894.66225791214,2.5132497686957394e+37
18825.301204819276,2.5410582263432107e+37
18756.447528838038,2.569496940150951e+37
18688.095683049898,2.5998396199869523e+37
18620.240201098593,2.6156698786525704e+37
18552.875695732837,2.6107111788004563e+37
18485.996857380534,2.6082890756733476e+37
18419.59845275373,2.608786812627147e+37
18353.675323483527,2.614739620079063e+37
18288.2223847842,2.62585467549228e+37
18223.234624145785,2.621240591763562e+37
18158.70710005448,2.623245358580205e+37
18094.63494074007,2.6567469517355395e+37
18031.013342949875,2.753687946663221e+37
17967.83757074836,2.806032464109077e+37
17905.102954341986,2.823311482039774e+37
17842.80488892854,2.8334497370071344e+37
17780.938833570413,2.8400100758818404e+37
17719.500310091258,2.9267655286274754e+37
17658.48490199541,2.997612410808541e+37
17597.88825340959,3.0268287237603815e+37
17537.7060680463,3.0154129763934236e+37
17477.934108188412,3.0081852413880216e+37
17418.56819369448,3.05443064314222e+37
17359.604201024216,3.1315888904943154e+37
17301.038062283737,3.175074542195729e+37
17242.865764290025,3.224088288249773e+37
17185.083347654236,3.288320757322709e+37
17127.68690588336,3.344066363339595e+37
17070.67258449983,3.4679323841828495e+37
17014.036580178647,3.6109624423342364e+37
16957.775139901645,3.6938374935853123e+37
16901.884560128452,3.7510358575309226e+37
16846.361185983827,3.7998849660623895e+37
16791.20141046092,3.8483772821906456e+37
16736.401673640165,3.8881979137308324e+37
16681.95846192343,3.920788920073553e+37
16627.868307283006,3.955291197993162e+37
16574.127786525234,3.992029209761955e+37
16520.733520568312,4.03358807377924e+37
16467.682173734047,4.0763073016602827e+37
16414.970453053185,4.119668355603465e+37
16362.595107584062,4.1624849661493636e+37
16310.55292774425,4.2044070023379247e+37
16258.840744654906,4.271236881682205e+37
16207.455429497568,4.3385517259652475e+37
16156.393892883107,4.399048421738478e+37
16105.653084232566,4.456202772257124e+37
16055.229991169623,4.507643351589149e+37
16005.121638924456,4.567517010461969e+37
15955.325089748701,4.628779290054873e+37
15905.837442341339,4.683367765712771e+37
15856.655831285181,4.738597410624091e+37
15807.777426493836,4.794584824860483e+37
15759.19943266882,4.848623779841699e+37
15710.919088766692,4.903405162125543e+37
15662.933667475918,4.95863237002057e+37
15615.240474703309,5.011695828349458e+37
15567.836849069823,5.062800908575125e+37
15520.72016141549,5.116964896345066e+37
15473.887814313346,5.168640268036298e+37
15427.337241592102,5.223046140586775e+37
15381.065907867414,5.277580713502291e+37
15335.07130808158,5.338997573760575e+37
15289.350967051449,5.394581032109225e+37
15243.90243902439,5.45068512391081e+37
15198.723307242191,5.507041052466951e+37
15153.811183512653,5.564359461338541e+37
15109.163707788774,5.624565050590461e+37
15064.778547755348,5.690306805507079e+37
15020.65339842283,5.757297843622886e+37
14976.78598172832,5.827698951391059e+37
14933.174046143507,5.895146277901712e+37
14889.815366289458,5.95750794552398e+37
14846.707742558088,6.019863979263657e+37
14803.849000740192,6.076601319244114e+37
14761.2369916599,6.134292662001652e+37
14718.869590815424,6.195227498911133e+37
14676.744698025977,6.25664676191352e+37
14634.860237084737,6.315986746370006e+37
14593.21415541773,6.3720222776854735e+37
14551.804423748546,6.429873675624844e+37
14510.629035768701,6.489162793622035e+37
14469.686007813632,6.55198936692981e+37
14428.973378544119,6.616257420954539e+37
14388.489208633096,6.680378547862639e+37
14348.23158045771,6.744566656493537e+37
14308.198597796538,6.808198500576069e+37
14268.388385531856,6.8714783764791505e+37
14228.79908935686,6.926727605558887e+37
14189.428875487763,6.985007666190666e+37
14150.275930380643,7.046434594661506e+37
14111.338460452975,7.109856199491807e+37
14072.61469180974,7.175512764138828e+37
14034.10286997404,7.240600993675748e+37
13995.801259622114,7.3069539769931815e+37
13957.708144322703,7.371483011868773e+37
13919.821826280626,7.434438176961537e+37
13882.140626084543,7.502352531387654e+37
13844.662882458813,7.569016296732739e+37
13807.386952019331,7.635703573152945e+37
13770.311209033325,7.705859160803414e+37
13733.434045183,7.765384345955119e+37
13696.75386933297,7.813022259010264e+37
13660.269107301414,7.859859691257265e+37
13623.978201634878,7.906543288715384e+37
13587.879611386645,7.960520397560475e+37
13551.971811898633,8.02649993602182e+37
13516.253294586742,8.096922121094193e+37
13480.722566729579,8.168700312392797e+37
13445.378151260506,8.237575062296426e+37
13410.218586562962,8.303560437562881e+37
13375.242426268976,8.3723753836695475e+37
13340.448239060834,8.487062690052246e+37
13305.834608475818,8.615536897036217e+37
13271.400132714003,8.721659529536152e+37
13237.143424449005,8.811927736472474e+37
13203.06311064167,8.895931318916468e+37
13169.157832356621,8.977941888642738e+37
13135.426244581637,9.061935165751157e+37
13101.867016049788,9.150492067700827e+37
13068.478829064297,9.236367359260065e+37
13035.260379326079,9.323087193924958e+37
13002.210375763882,9.41188376368338e+37
12969.327540367032,9.499450920695615e+37
12936.610608020701,9.585016353792303e+37
12904.058326343637,9.663020949542259e+37
12871.669455528383,9.739511064688484e+37
12839.442768183862,9.815853473677286e+37
12807.37704918033,9.8928226041107e+37
12775.471095496649,9.970652643249468e+37
12743.723716069837,1.0048740803404857e+38
12712.133731646858,1.0129420350928365e+38
12680.6999746386,1.0218816482000877e+38
12649.42128897603,1.0311364099100638e+38
12618.296529968455,1.039303148493172e+38
12587.324564163888,1.0487145704777794e+38
12556.504269211451,1.0582527773077327e+38
12525.83453372581,1.0675952953789531e+38
12495.314257153568,1.0773586789482361e+38
12464.942349641633,1.0870385849570327e+38
12434.717731907487,1.0968354582534057e+38
12404.639335111333,1.1058122390806597e+38
12374.706100730109,1.1141920020647833e+38
12344.916980433307,1.1226254895874263e+38
12315.270935960592,1.1310804258326114e+38
12285.766939001167,1.1396346324767166e+38
12256.403971074888,1.14721199399273e+38
12227.181023415053,1.1547394457953586e+38
12198.09709685289,1.1638303560361854e+38
12169.15120170368,1.1730671189083263e+38
12140.342357654488,1.181783851823248e+38
12111.669593653487,1.1905375037134718e+38
12083.13194780087,1.1991158910554982e+38
12054.728467241277,1.2079391066408581e+38
12026.458208057727,1.217034702473284e+38
11998.320235167079,1.2268670107376454e+38
11970.313622216903,1.2369756696787261e+38
11942.437451483847,1.2471438568737046e+38
11914.690813773383,1.2588751862990353e+38
11887.072808320952,1.270576932477206e+38
11859.582542694498,1.2816925574124703e+38
11832.21913269834,1.2919196259606844e+38
11804.981702278363,1.302226638858568e+38
11777.869383428537,1.3122668956702047e+38
11750.881316098707,1.3221715182260298e+38
11724.016648103641,1.3323831505778066e+38
11697.274535033339,1.342952972020993e+38
11670.654140164557,1.3535148890031993e+38
11644.154634373546,1.3644405709190526e+38
11617.775196049957,1.3756381332003875e+38
11591.51501101194,1.3868605575740508e+38
11565.373272422368,1.3971150527146123e+38
11539.34918070621,1.4074452515696807e+38
11513.441943469,1.4180361010579591e+38
11487.650775416429,1.4291490778348065e+38
11461.974898274973,1.4400034035213974e+38
11436.413540713633,1.4508221892600676e+38
11410.965938266676,1.4606020002126399e+38
11385.63133325743,1.4701326030977052e+38
11360.40897472309,1.4795807757544018e+38
11335.298118340514,1.4892835064487273e+38
11310.298026352993,1.4989704999126477e+38
11285.407967498026,1.5085903025963299e+38
11260.627216935984,1.5182371297191844e+38
11235.955056179775,1.5286561052507732e+38
11211.390773025394,1.5396630011474857e+38
11186.933661483388,1.5503698166429914e+38
11162.583021711223,1.5617771931856459e+38
11138.338159946536,1.5730235187485905e+38
11114.198388441235,1.581270918765715e+38
11090.163025396474,1.5910137301054938e+38
11066.231394898468,1.6027068700838293e+38
11042.402826855125,1.6126430723462776e+38
11018.676656933503,1.6210560868261437e+38
10995.052226498075,1.6289822509227184e+38
10971.528882549783,1.6372746711274365e+38
10948.105977665866,1.6492814090931406e+38
10924.78286994046,1.6611994023337212e+38
10901.558922925979,1.6719737367435975e+38
10878.433505575198,1.6824233355254588e+38
10855.405992184109,1.6924969082886129e+38
10832.475762335482,1.702271433530619e+38
