 lambda_center tau_sobolev
0 85.89 2515.3861309048584
1 105.89 1858.921599783795
2 125.88999999999999 2266.65467977641
3 145.89 939.333956797748
4 165.89 1234.5522736899939
5 185.89 175.43476630335365
6 205.89 581.4826742589506
7 225.89 510.7748797210429
8 245.89 140.90496465958873
9 265.89 681.2260852593697
10 285.89 1318.3524739242353
11 305.89 711.5441256297356
12 325.89 281.50332404123753
13 345.89 1023.8427920183784
14 365.89 933.7088758348019
15 385.89 348.3160384140791
16 405.89 278.00307329320884
17 425.89 579.9192521250231
18 445.89 190.52043326320782
19 465.89 32.94235130958704
20 485.89 718.4265459117763
21 505.89 773.6701841900086
22 525.89 1035.061231965766
23 545.89 942.7163568743912
24 565.89 699.1695674380934
25 585.89 80.31735879030393
26 605.89 302.81313998985405
27 625.89 1107.500732164093
28 645.89 782.6969181758528
29 665.89 222.63559378215888
30 685.89 467.72675100444826
31 705.89 667.7655082908832
32 725.89 818.1454777701821
33 745.89 651.5040912537536
34 765.89 397.9525188163893
35 785.89 546.9690346237762
36 805.89 704.8214960062046
37 825.89 236.91521544666665
38 845.89 484.84048386552496
39 865.89 216.4870785085898
40 885.89 305.5943139296611
41 905.89 191.1507252345137
42 925.89 326.8669333357553
43 945.89 147.23879926354402
44 965.89 91.30716039312681
45 985.89 95.62869218768758
46 1005.89 52.0209905970087
47 1025.89 113.58968471789753
48 1045.89 67.64741503795604
49 1065.89 30.536169164872252
50 1085.89 182.23985582287466
51 1105.89 86.67166734334057
52 1125.89 44.71180182608917
53 1145.89 64.02993616652478
54 1165.89 212.20101204138663
55 1185.89 258.6996658822018
56 1205.89 69.82909339589062
57 1225.89 71.73617183726846
58 1245.89 221.45569697150836
59 1265.89 86.76876822964005
60 1285.89 119.88612545160623
61 1305.89 632.4578375097952
62 1325.89 127.8860735475038
63 1345.89 107.70039552102952
64 1365.89 77.26109169822476
65 1385.89 29.48705049767616
66 1405.89 104.8751713281963
67 1425.89 124.14888483532998
68 1445.89 206.6755863749361
69 1465.89 520.327707541954
70 1485.89 321.0534256662963
71 1505.89 210.71916615310582
72 1525.89 16.571900851060324
73 1545.89 91.29382711844016
74 1565.89 420.8219646849578
75 1585.89 198.38754995007145
76 1605.89 573.548661569874
77 1625.89 83.97928354286044
78 1645.89 180.4389875689483
79 1665.89 80.20634129550048
80 1685.89 134.17882934839554
81 1705.89 373.35478327487687
82 1725.89 107.84226818490095
83 1745.89 190.99065756191513
84 1765.89 51.375195617240145
85 1785.89 73.58927332088996
86 1805.89 37.452869666894564
87 1825.89 66.70871583706257
88 1845.89 72.50315047505406
89 1865.89 60.43798606821362
90 1885.89 15.981787599789044
91 1905.89 256.077048207851
92 1925.89 11.250747877702484
93 1945.89 266.90491406730393
94 1965.89 65.54759098955758
95 1985.89 143.39176339712162
96 2005.89 103.19094899275248
97 2025.89 311.6260042525485
98 2045.8899999999999 107.5583593274159
99 2065.89 182.3439139970407
100 2085.89 32.09117721135205
101 2105.89 132.105165105113
102 2125.89 25.610531425403014
103 2145.89 121.33370987430021
104 2165.89 40.60755595985946
105 2185.89 63.60426720973006
106 2205.89 71.74867234149276
107 2225.89 101.88527778163505
108 2245.89 108.07714184321988
109 2265.89 199.7997052792723
110 2285.89 722.7687311805688
111 2305.89 1216.331537784562
112 2325.89 527.6593562780641
113 2345.89 689.5813535142729
114 2365.89 468.46326531562596
115 2385.89 1118.7474431801352
116 2405.89 391.0403507602
117 2425.89 340.0034260500946
118 2445.89 145.3103098131463
119 2465.89 205.42604386892302
120 2485.89 301.1061687941973
121 2505.89 75.319360131049
122 2525.89 345.61992955030956
123 2545.89 855.2355347174874
124 2565.89 285.40925779803905
125 2585.89 223.9839384494031
126 2605.89 500.29739142351883
127 2625.89 72.82145352388035
128 2645.89 10.638444271586987
129 2665.89 150.9362622102043
130 2685.89 29.39050082345042
131 2705.89 23.80934160690845
132 2725.89 28.06352128489117
133 2745.89 531.2038791954013
134 2765.89 151.3962503065478
135 2785.89 855.371479903383
136 2805.89 15.683459778635369
137 2825.89 143.26010649891109
138 2845.89 394.25158666014187
139 2865.89 11.629141272987594
140 2885.89 8.970789887775252
141 2905.89 16.341871390206204
142 2925.89 4.742847436272842
143 2945.89 30.728830157714707
144 2965.89 42.88080813517369
145 2985.89 188.74424927534727
146 3005.89 123.18656261974454
147 3025.89 30.43212953973944
148 3045.89 1.3294329229545405
149 3065.89 316.24627883081956
150 3085.89 157.91933769265145
151 3105.89 725.13481079511
152 3125.89 362.5492000178388
153 3145.89 347.8003292199079
154 3165.89 502.3874728417825
155 3185.89 188.03812500439818
156 3205.89 112.25415445081883
157 3225.89 49.5198499218252
158 3245.89 23.974500927131185
159 3265.89 136.61752462054255
160 3285.89 195.94886172761193
161 3305.89 14.106310843673546
162 3325.89 0.051485757142627875
163 3345.89 162.135880699265
164 3365.89 48.074817270980695
165 3385.89 81.84772386079383
166 3405.89 12.048350805816185
167 3425.89 4.584616002125048
168 3445.89 184.7634893173039
169 3465.89 19.692983610963253
170 3485.89 515.2621843955643
171 3505.89 117.14545981709651
172 3525.89 22.152928126786033
173 3545.89 67.6823974825448
174 3565.89 14.067378411476277
175 3585.89 128.91807680569727
176 3605.89 40.070060413944496
177 3625.89 7.281901143042289
178 3645.89 656.305070191652
179 3665.89 24.58347565441208
180 3685.89 332.2691588200251
181 3705.89 68.92489418975404
182 3725.89 64.02055833166538
183 3745.89 184.85503843119625
184 3765.89 1.2676222701484239
185 3785.89 1.4318527167313697
186 3805.89 32.71425694799077
187 3825.89 68.450804066053
188 3845.89 17.05144336604088
189 3865.89 326.69232227724797
190 3885.89 254.16886301359327
191 3905.89 522.2789792357935
