 lambda_center tau_sobolev
0 84.574 1390480.7736025045
1 104.574 147294.1653425905
2 124.57400000000001 2580468.5809362526
3 144.574 21259.082812502635
4 164.574 23086.73245413978
5 184.574 857423.7963744606
6 204.574 11106.250834404495
7 224.574 73251.1788661019
8 244.574 82244.95720282337
9 264.574 948523.9130015888
10 284.574 1623262.4017295144
11 304.574 227630.29865012536
12 324.574 100193.9467338229
13 344.574 1534381.031835912
14 364.574 856943.803275308
15 384.574 1829612.063199591
16 404.574 316112.1503681229
17 424.574 342047.6536381418
18 444.574 457261.52014618594
19 464.574 679462.9547368472
20 484.574 1509430.5163150642
21 504.57399999999996 1489256.2053741512
22 524.574 912226.3389807779
23 544.574 2728349.6894889083
24 564.574 527678.1205225519
25 584.574 70408.6131741339
26 604.574 513959.7025325643
27 624.574 795091.8525888633
28 644.574 231076.30292530052
29 664.574 150230.2631632679
30 684.574 198022.18608106056
31 704.574 911560.8334731827
32 724.574 697553.4995425739
33 744.574 550600.2946528174
34 764.574 2037553.303028386
35 784.574 1794699.1330228578
36 804.574 1978353.8906233811
37 824.574 409397.6200847165
38 844.574 649672.8237902814
39 864.574 1022082.1395903425
40 884.574 360958.7249983346
41 904.574 111070.04033742285
42 924.574 1033970.702621068
43 944.574 2049289.4005382312
44 964.574 69545.67222408426
45 984.574 86507.8818017878
46 1004.574 53170.55774402993
47 1024.574 444425.13316610805
48 1044.574 847717.6664844914
49 1064.574 140120.2486050935
50 1084.574 65105.41827467614
51 1104.574 79746.04044917697
52 1124.574 50659.46975384664
53 1144.574 420836.93683427153
54 1164.574 212386.86913818173
55 1184.574 132881.1435099013
56 1204.574 16298.583714985254
57 1224.574 521797.1947382064
58 1244.574 368916.17080241913
59 1264.574 205504.02299027916
60 1284.574 426232.3639570986
61 1304.574 63843.97959185809
62 1324.574 15364.812835003177
63 1344.574 42331.431086398
64 1364.574 69988.32020479308
65 1384.574 51159.206845261324
66 1404.574 47757.91496864876
67 1424.574 554173.6731062899
68 1444.574 187403.64206139368
69 1464.574 186491.80765329272
70 1484.574 104963.76718897972
71 1504.574 22460.717355636418
72 1524.574 54799.109947675686
73 1544.574 77314.54814419929
74 1564.574 61145.739934588266
75 1584.574 264175.3599294693
76 1604.574 202343.63794401873
77 1624.574 607011.3141885557
78 1644.574 56119.513370802495
79 1664.574 242020.99457926906
80 1684.574 86254.25607896874
81 1704.574 208878.6821032583
82 1724.574 36494.510880584465
83 1744.574 27891.456997699457
84 1764.574 33204.74252961058
85 1784.574 48486.50056868313
86 1804.574 63024.57761284454
87 1824.574 24665.30776911934
88 1844.574 53706.17014786963
89 1864.574 11938.948616683685
90 1884.574 153498.10647758492
91 1904.574 436492.96958125447
92 1924.574 23309.606692749516
93 1944.574 19874.09951874979
94 1964.574 119144.23551189006
95 1984.574 206093.59304964665
96 2004.574 135439.0175467593
97 2024.574 247898.8369776072
98 2044.574 189738.3288943047
99 2064.574 683042.2034459057
100 2084.574 162920.70815509677
101 2104.574 113581.88521440876
102 2124.574 15393.904388830997
103 2144.574 116300.54955230746
104 2164.574 240667.09959199678
105 2184.574 83266.9334845745
106 2204.574 74899.43037664148
107 2224.574 171600.73702160505
108 2244.574 777229.5239917468
109 2264.574 1327035.9193042093
110 2284.574 266949.76674348465
111 2304.574 275380.4960639104
112 2324.574 279854.21696200385
113 2344.574 515384.60982145154
114 2364.574 464188.2915191872
115 2384.574 304454.88181388547
116 2404.574 116332.35639239216
117 2424.574 45517.84522451513
118 2444.574 141148.40732275302
119 2464.574 164356.10918548872
120 2484.574 56780.68846998725
121 2504.574 184321.81114190313
122 2524.574 219456.57922770432
123 2544.574 187372.4663911374
124 2564.574 177604.44167072148
125 2584.574 179141.01518082156
126 2604.574 93480.44865795762
127 2624.574 163667.1693228803
128 2644.574 215378.65793147314
129 2664.574 91140.06393484194
130 2684.574 412976.4750712869
131 2704.574 215295.67698919997
132 2724.574 68645.50671313908
133 2744.574 118021.62904959204
134 2764.574 190034.67462404835
135 2784.574 2543.228127729605
136 2804.574 4031.7709850216047
137 2824.574 62382.61743935172
138 2844.574 67601.85295526257
139 2864.574 700183.7737328502
140 2884.574 134660.27345006625
141 2904.574 46967.07826764919
142 2924.574 45540.835115482536
143 2944.574 6312.219159572552
144 2964.574 43047.67178247488
145 2984.574 106446.47904590011
146 3004.574 736169.2175031061
147 3024.574 165270.04372248013
148 3044.574 73993.93396576238
149 3064.574 469500.8863320586
150 3084.574 155000.4849843445
151 3104.574 103154.99353777643
152 3124.574 267862.54561741557
153 3144.574 169684.0314273691
154 3164.574 23871.336447973266
155 3184.574 248764.7002212552
156 3204.574 185157.22104492897
157 3224.574 162689.03346766598
158 3244.574 98035.24545047601
159 3264.574 28000.368584533706
160 3284.574 1807.4781540492927
161 3304.574 1029.3591104168422
162 3324.574 7285.119516076162
163 3344.574 461666.6499637945
164 3364.574 281391.9799503011
165 3384.574 144632.68602318357
166 3404.574 7065.980114990741
167 3424.574 10.346875901750602
168 3444.574 211213.35912981926
169 3464.574 21919.115217115672
170 3484.574 26911.893106552117
171 3504.574 55840.72150625857
172 3524.574 28819.064609964284
173 3544.574 3390.0463285035885
174 3564.574 2271.0274885371464
175 3584.574 4797.6178636178065
176 3604.574 744.4375780936426
177 3624.574 48979.22108442212
178 3644.574 30500.162807074594
179 3664.574 24389.268115366292
180 3684.574 22959.722524409215
181 3704.574 24026.497900877515
182 3724.574 39750.00591566103
183 3744.574 15544.987684211568
184 3764.574 6564.848518297412
185 3784.574 17498.246803890714
186 3804.574 23435.087338421024
187 3824.574 29225.16676670961
188 3844.574 73043.12294477076
189 3864.574 20022.00666290735
190 3884.574 6630.658127700469
191 3904.574 98463.20601829077
192 3924.574 2069.540628880398
193 3944.574 187.5037044759463
194 3964.574 776135.964821454
195 3984.574 119116.31691120674
196 4004.574 41186.22159533295
197 4024.574 6432.354639512868
198 4044.574 7985.441588642339
199 4064.574 53934.04809086075
200 4084.574 24122.181723792597
201 4104.574 202.7490482790003
202 4124.574 126.05728110901187
203 4144.574 490.8621518840252
204 4164.574 8728.395813060431
205 4184.574 17170.242722962015
206 4204.574 487.0974637599856
207 4224.574 808.1624546611177
208 4244.574 138.62182699799084
209 4264.574 187.3701391609623
210 4284.574 56755.88079979021
211 4304.574 51098.99288694778
212 4324.574 4366.566323342033
213 4344.574 14733.156287918766
214 4364.574 318.75494923219793
215 4384.574 238.58026436698572
216 4404.574 2869.1726216788334
217 4424.574 11924.428632965604
218 4444.574 12001.455972188776
219 4464.574 45411.00209421935
220 4484.574 5749.265120606284
221 4504.574 12973.88122625614
222 4524.574 1756.1656833600675
223 4544.574 37425.3526837309
224 4564.574 12374.391717337618
225 4584.574 12077.415217237654
226 4604.574 35.48451536678499
227 4624.574 11537.265522775035
228 4644.574 5474.314279118376
229 4664.574 6515.151444868084
230 4684.574 3037.2870697998637
231 4704.574 2592.1674738136826
232 4724.574 114.57844256350104
233 4744.574 1388.1967249588472
234 4764.574 86.39537933419568
235 4784.574 938.2190601336218
