 lambda_center tau_sobolev
0 85.248 10942.687976549605
1 105.248 28978.2908026429
2 125.24799999999999 133626.27674190106
3 145.248 285.8587065896005
4 165.248 3915.3780467275615
5 185.248 4925.828710599429
6 205.248 97.60684290498847
7 225.248 5545.554415451552
8 245.248 24799.053168012782
9 265.248 77166.30690545573
10 285.248 24543.718882853067
11 305.248 3289.498680434662
12 325.248 38015.86038497871
13 345.248 152849.34665180833
14 365.248 104608.22611429187
15 385.248 144070.81047814628
16 405.248 22093.5189789268
17 425.248 75300.88175914377
18 445.248 20576.59840304929
19 465.248 82986.43945726422
20 485.248 154936.42288817588
21 505.24800000000005 137478.36268527387
22 525.248 23829.16174192536
23 545.248 233874.1900937629
24 565.248 21036.60767167456
25 585.248 12233.714289905183
26 605.248 16203.229570241188
27 625.248 72791.48885183173
28 645.248 21183.948493467502
29 665.248 29050.829598022945
30 685.248 45458.14097970004
31 705.248 11039.40958046699
32 725.248 123300.23874960809
33 745.248 41553.53010122881
34 765.248 167885.26488296906
35 785.248 40513.30024300161
36 805.248 69477.16541263254
37 825.248 78364.97497282433
38 845.248 111191.57610467226
39 865.248 179431.85584667046
40 885.248 30399.901918723208
41 905.248 35121.34289049354
42 925.248 57169.76778797194
43 945.248 21376.00655494804
44 965.248 6679.149807128608
45 985.248 23019.31328434191
46 1005.248 5801.372219002846
47 1025.248 42394.85879263346
48 1045.248 24864.10061754746
49 1065.248 13797.906267125602
50 1085.248 6348.478842485178
51 1105.248 3336.784193799043
52 1125.248 104866.16756466289
53 1145.248 32779.38283486469
54 1165.248 13905.499716808472
55 1185.248 7686.124856871933
56 1205.248 14064.24146223878
57 1225.248 34099.3149363557
58 1245.248 5113.741017895873
59 1265.248 9367.115191094332
60 1285.248 13897.909380576753
61 1305.248 6906.569120536309
62 1325.248 634.5380472271597
63 1345.248 1137.125733694243
64 1365.248 2517.995562924409
65 1385.248 19202.04703445163
66 1405.248 8431.448151216156
67 1425.248 4403.3649135478945
68 1445.248 8424.324890011689
69 1465.248 1071.943001630613
70 1485.248 2056.2914322993192
71 1505.248 13842.578412572504
72 1525.248 2647.703396610435
73 1545.248 3245.2928852346454
74 1565.248 21773.646185076403
75 1585.248 3158.2992421972626
76 1605.248 29888.84643845184
77 1625.248 47763.76811193581
78 1645.248 4341.375252238492
79 1665.248 5275.5964189124015
80 1685.248 35196.52254669881
81 1705.248 749.3848064356994
82 1725.248 2045.4451807120975
83 1745.248 820.1288733066475
84 1765.248 8632.079769042904
85 1785.248 2741.3207576126892
86 1805.248 3144.8753562500087
87 1825.248 1918.9052567771537
88 1845.248 2471.5828164508707
89 1865.248 1621.8319114894482
90 1885.248 9857.570620351084
91 1905.248 31724.978079181634
92 1925.248 8360.435163888169
93 1945.248 18193.005149962228
94 1965.248 4811.396760775359
95 1985.248 12096.936462748752
96 2005.248 12539.406795149076
97 2025.248 206.9979057827031
98 2045.248 385.47164456976424
99 2065.248 3319.156800241649
100 2085.248 3284.617059176375
101 2105.248 1655.2587337936739
102 2125.248 26620.281261262324
103 2145.248 30795.394724033493
104 2165.248 16696.948357737172
105 2185.248 8621.70527742584
106 2205.248 17064.338055317086
107 2225.248 21654.073842245205
108 2245.248 38561.325937692534
109 2265.248 58051.45347157859
110 2285.248 14868.546070531975
111 2305.248 59742.83078292541
112 2325.248 9340.979723874767
113 2345.248 2971.598181007343
114 2365.248 36557.64656849743
115 2385.248 1923.4715052538136
116 2405.248 5447.076110191902
117 2425.248 601.6986282724575
118 2445.248 8968.59658784554
119 2465.248 5223.547982069115
120 2485.248 35498.358899654835
121 2505.248 2488.279230794953
122 2525.248 4669.982847752983
123 2545.248 22267.007162359692
124 2565.248 44142.497470046794
125 2585.248 7072.846244942813
126 2605.248 26756.038179983017
127 2625.248 16067.663369046668
128 2645.248 12803.903963534945
129 2665.248 8592.182577221156
130 2685.248 6130.165305928833
131 2705.248 829.1736159514523
132 2725.248 76107.31436006243
133 2745.248 12763.168703360796
134 2765.248 5285.403113932796
135 2785.248 1954.3388171067156
136 2805.248 410.5513128462584
137 2825.248 277.26539577237077
138 2845.248 2178.3835570571027
139 2865.248 1465.3172042803826
