 lambda_center tau_sobolev
0 85.248 1331637.9658703553
1 105.248 521834.55554079305
2 125.24799999999999 563612.7543038207
3 145.248 894065.8936918508
4 165.248 103694.91131473742
5 185.248 36595.62902747961
6 205.248 172800.93865539183
7 225.248 12315.21530439636
8 245.248 68387.17408412608
9 265.248 727241.4237769758
10 285.248 647037.4934646256
11 305.248 22554.946271005032
12 325.248 22531.92624338905
13 345.248 894947.1693834772
14 365.248 338296.10360797215
15 385.248 351831.6426414919
16 405.248 111906.0995952304
17 425.248 87375.79018154067
18 445.248 626989.60629905
19 465.248 85275.8333148054
20 485.248 1125825.2442667189
21 505.24800000000005 879924.3443639799
22 525.248 245225.11542559057
23 545.248 714902.2325863458
24 565.248 330299.2596842626
25 585.248 357003.3939058057
26 605.248 237482.88464902973
27 625.248 368537.53913542297
28 645.248 317876.18481206987
29 665.248 20722.620840051834
30 685.248 47562.87583208312
31 705.248 158651.48100886427
32 725.248 1211104.096289673
33 745.248 320409.83618618146
34 765.248 580524.6957881775
35 785.248 714291.6161356596
36 805.248 383537.5884113453
37 825.248 184198.69457365945
38 845.248 463734.5137301938
39 865.248 1046493.777230032
40 885.248 59484.832120709936
41 905.248 26235.640884072956
42 925.248 365685.0733922687
43 945.248 170179.56820835065
44 965.248 331517.5224752567
45 985.248 22003.766952469035
46 1005.248 229626.93185181366
47 1025.248 47296.70607618792
48 1045.248 28870.933148900214
49 1065.248 645.2665418745863
50 1085.248 11207.819123904535
51 1105.248 26077.856079351048
52 1125.248 173102.76746355795
53 1145.248 15972.45565841139
54 1165.248 213805.8255989193
55 1185.248 198625.07266144475
56 1205.248 65314.86148122548
57 1225.248 57479.582446596345
58 1245.248 323986.4690246867
59 1265.248 5743.35538234542
60 1285.248 11699.232066442908
61 1305.248 226912.99785089746
62 1325.248 2121.018671655764
63 1345.248 6051.8827294116245
64 1365.248 256593.35004498155
65 1385.248 178186.03109549967
66 1405.248 57477.76705092607
67 1425.248 57879.77870674166
68 1445.248 95852.81988900324
69 1465.248 297462.71243853215
70 1485.248 1389.330873333456
71 1505.248 67531.27191667906
72 1525.248 595.1986260543454
73 1545.248 243534.73391639412
74 1565.248 110406.54789074353
75 1585.248 175193.72085840622
76 1605.248 18939.626387198496
77 1625.248 66543.54473818146
78 1645.248 25097.33979025214
79 1665.248 149797.39669848906
80 1685.248 14814.794287751529
81 1705.248 8299.535114447068
82 1725.248 46235.366804663914
83 1745.248 8180.285531664754
84 1765.248 11342.622171726573
85 1785.248 3453.4484316814746
86 1805.248 796.9765692535577
87 1825.248 2905.1252136784783
88 1845.248 6911.756225027511
89 1865.248 141143.90189179598
90 1885.248 138.1709414006665
91 1905.248 199953.40247835912
92 1925.248 243.288659235343
93 1945.248 1718.7730353785669
94 1965.248 2881.572068688861
95 1985.248 20479.775465094477
96 2005.248 330601.2469818268
97 2025.248 232408.45936796427
98 2045.248 49974.055480269955
99 2065.248 188139.38176096955
100 2085.248 25903.136407895767
101 2105.248 134030.17321299197
102 2125.248 60346.551153135966
103 2145.248 9286.44400866664
104 2165.248 15072.657592250049
105 2185.248 30217.876915625046
106 2205.248 21166.27956482029
107 2225.248 49909.345129714624
108 2245.248 24983.28032708191
109 2265.248 42928.84497113914
110 2285.248 18496.638427258178
111 2305.248 206239.09673395677
112 2325.248 110518.10248099765
113 2345.248 718001.4011062463
114 2365.248 234167.78410463812
115 2385.248 76977.61419815765
116 2405.248 34329.021820594346
117 2425.248 51208.414894389636
118 2445.248 46684.44837695797
119 2465.248 436061.40035223437
120 2485.248 15646.909882482974
121 2505.248 15267.742383295348
122 2525.248 62044.15861184622
123 2545.248 35606.88829476565
124 2565.248 141228.82508236042
125 2585.248 221775.99307634454
126 2605.248 258240.45299610274
127 2625.248 17560.96578135184
128 2645.248 49792.29531669645
129 2665.248 26952.351022670966
130 2685.248 40424.9912578968
131 2705.248 109980.09350163065
132 2725.248 195230.71190042334
133 2745.248 27103.293558649406
134 2765.248 8811.532799769739
135 2785.248 3683.0591087499615
136 2805.248 11904.393123942364
137 2825.248 3875.3095104229665
138 2845.248 3424.8196822881046
139 2865.248 128531.57627991702
140 2885.248 3145.514226794299
141 2905.248 13423.273124453777
142 2925.248 4528.329696460541
143 2945.248 20427.947650063892
144 2965.248 8236.491038279364
145 2985.248 49626.66128134205
146 3005.248 14062.826857266207
147 3025.248 107070.46016739123
148 3045.248 22329.780984301127
149 3065.248 25943.591123787242
150 3085.248 197150.78442014212
151 3105.248 30652.601069536504
152 3125.248 579.0538788195473
153 3145.248 58318.17799009378
154 3165.248 109365.18842964666
155 3185.248 49613.69368620768
156 3205.248 82162.20316948259
157 3225.248 28350.901429292055
158 3245.248 141811.2139724355
159 3265.248 657.6761417410553
160 3285.248 1067.8445235342303
161 3305.248 948.7110257379687
162 3325.248 129.21830603497963
163 3345.248 397232.4522372369
164 3365.248 30405.683322303586
165 3385.248 21471.491483202448
166 3405.248 185.81151340112356
167 3425.248 1210.4167852991775
168 3445.248 16786.85518741322
169 3465.248 6361.734326966775
170 3485.248 23.194473145482707
171 3505.248 129939.00331992473
172 3525.248 9643.116278232133
173 3545.248 0.26212784193695754
174 3565.248 9.617534072467025
175 3585.248 42755.95043222499
176 3605.248 51758.67595184009
177 3625.248 763.4319130558237
178 3645.248 32572.731609841823
179 3665.248 75627.2875465734
180 3685.248 21002.297409625222
181 3705.248 825.065008510606
182 3725.248 243488.98396173355
183 3745.248 220692.61995449808
184 3765.248 3219.019201377979
185 3785.248 37.10979928850381
186 3805.248 53.083938187049355
187 3825.248 5196.6289352795775
188 3845.248 12939.47201315519
189 3865.248 6489.256723858916
190 3885.248 4852.322933137129
191 3905.248 185201.93362306626
192 3925.248 4389.199953967355
193 3945.248 1242.8781347016668
194 3965.248 269.2943147912074
195 3985.248 342.81003083165973
196 4005.248 15.838133675010564
197 4025.248 38.12243756369837
198 4045.248 8.069833615072294
199 4065.248 775.9274605028801
200 4085.248 15.207992573808477
201 4105.248 26.041974702167504
202 4125.248 1.1029950524955447
203 4145.248 4.758378846696464
204 4165.248 16982.712512915474
205 4185.248 1382.8049884632603
206 4205.248 21.399039494916117
207 4225.248 24.097773803361463
208 4245.248 3.855817879953944
209 4265.248 1140.9104560618664
210 4285.248 12295.52602063921
211 4305.248 4014.4191271351933
212 4325.248 1708.9650727019114
213 4345.248 4651.676067614009
214 4365.248 2805.5555535078224
215 4385.248 3304.255575877637
216 4405.248 36.367423770723384
217 4425.248 4.812935641131077
218 4445.248 5.971250918511588
219 4465.248 10.822959909820158
220 4485.248 1.466569682482077
221 4505.248 5639.711635610754
222 4525.248 800.0923484914666
223 4545.248 7091.256435021883
224 4565.248 41975.43106628223
225 4585.248 27972.43274494797
226 4605.248 6739.41326388382
227 4625.248 131.28414307962205
228 4645.248 328.2898855984901
229 4665.248 231535.51631474277
230 4685.248 49321.24764402913
231 4705.248 8.57707254287511
232 4725.248 1157.2833628705903
233 4745.248 3667.325399015387
234 4765.248 3027.049742884137
235 4785.248 712.4601057228632
236 4805.248 2116.1041829525725
237 4825.248 95.61710593402474
238 4845.248 603.3653163182014
239 4865.248 505.6812307881664
240 4885.248 4136.327042127207
241 4905.248 812.4009274203953
242 4925.248 2187.7937970051157
243 4945.248 1885.7700447484128
244 4965.248 0.0004407324921354506
245 4985.248 130.6186996941756
246 5005.248 1782.0765762051299
247 5025.248 4166.147167794273
248 5045.248 127.25084255586516
249 5065.248 1990.175975360462
250 5085.248 30.04235143532757
251 5105.248 2082.7067818933665
252 5125.248 5.055935005403548
253 5145.248 5428.862874891755
254 5165.248 6.992422568919921
255 5185.248 8.547339271129399
