wavelength,luminosity
20000.0,2.1567294809124507e+37
19922.303018228908,2.1893754087905706e+37
19845.207382417146,2.216210683090144e+37
19768.706138183254,2.2473175502252547e+37
19692.792437967706,2.2801294658684264e+37
19617.4595389897,2.3083553082229545e+37
19542.700801250732,2.3396352533114167e+37
19468.50968558357,2.3736943552447207e+37
19394.87975174554,2.40332674855059e+37
19321.804656554923,2.4383705035958252e+37
19249.278152069295,2.4687002631545154e+37
19177.294083804773,2.502000773799655e+37
19105.846388995033,2.5420374160703917e+37
19034.92909488912,2.5787902483572143e+37
18964.536317087048,2.6123490947077797e+37
18894.66225791214,2.64326445133353e+37
18825.301204819276,2.67134789035296e+37
18756.447528838038,2.6984459035881416e+37
18688.095683049898,2.730021384272093e+37
18620.240201098593,2.7426030116941837e+37
18552.875695732837,2.7302773726710897e+37
18485.996857380534,2.716763992540037e+37
18419.59845275373,2.705804579075504e+37
18353.675323483527,2.702746890279183e+37
18288.2223847842,2.70133393109567e+37
18223.234624145785,2.683240820174695e+37
18158.70710005448,2.666046058439658e+37
18094.63494074007,2.686389603361026e+37
18031.013342949875,2.779262785445086e+37
17967.83757074836,2.8410662626928823e+37
17905.102954341986,2.8623356144619525e+37
17842.80488892854,2.872386150418638e+37
17780.938833570413,2.880774198483076e+37
17719.500310091258,2.9901745603245905e+37
17658.48490199541,3.093294386417954e+37
17597.88825340959,3.1499100850589893e+37
17537.7060680463,3.1440170986900983e+37
17477.934108188412,3.1340062724378795e+37
17418.56819369448,3.170848308463028e+37
17359.604201024216,3.2528812578965233e+37
17301.038062283737,3.3018392019057275e+37
17242.865764290025,3.349967721012259e+37
17185.083347654236,3.406265731262588e+37
17127.68690588336,3.4551563588406374e+37
17070.67258449983,3.5755518624332717e+37
17014.036580178647,3.738064805291702e+37
16957.775139901645,3.8519592428199167e+37
16901.884560128452,3.925611880281433e+37
16846.361185983827,3.97916066742937e+37
16791.20141046092,4.0280873372784263e+37
16736.401673640165,4.0722288119615333e+37
16681.95846192343,4.1137672651866667e+37
16627.868307283006,4.15369273812809e+37
16574.127786525234,4.1938069653764345e+37
16520.733520568312,4.2311122742234535e+37
16467.682173734047,4.266913253761541e+37
16414.970453053185,4.309429006314008e+37
16362.595107584062,4.362106856935214e+37
16310.55292774425,4.407732366223407e+37
16258.840744654906,4.475585748885947e+37
16207.455429497568,4.5547292282773095e+37
16156.393892883107,4.620735767078312e+37
16105.653084232566,4.68424137500918e+37
16055.229991169623,4.741734896210477e+37
16005.121638924456,4.807718681453422e+37
15955.325089748701,4.872486941592386e+37
15905.837442341339,4.928625127761721e+37
15856.655831285181,4.985703632192074e+37
15807.777426493836,5.043041070708467e+37
15759.19943266882,5.101665501783221e+37
15710.919088766692,5.160332008626671e+37
15662.933667475918,5.216628488066515e+37
15615.240474703309,5.269979840294148e+37
15567.836849069823,5.327809698285006e+37
15520.72016141549,5.384994039534222e+37
15473.887814313346,5.449836814208714e+37
15427.337241592102,5.515574765865756e+37
15381.065907867414,5.575608795110621e+37
15335.07130808158,5.632848389525325e+37
15289.350967051449,5.6936229904243e+37
15243.90243902439,5.754028593136216e+37
15198.723307242191,5.816758134149782e+37
15153.811183512653,5.883479740671146e+37
